ASV_original,ASV_updated,ASV_genus,ASV_species,ASV_culture,ASV_seqrun,Culture_collection,ASV_ID,SSU_kingdom,SSU_phylum,SSU_class,SSU_order,SSU_family,SSU_genus,SSU_species,SSU_Consensus,ITS_kingdom,ITS_phylum,ITS_class,ITS_order,ITS_family,ITS_genus,ITS_species,ITS_Consensus,fg_confidence,ft_primary_lifestyle,ft_secondary_lifestyle,LSU_phylum,LSU_family,LSU_genus,SSU_primer_success,ITS_primer_success,LSU_primer_align_success,method_LSU
Gigaspora_margarita_120_7A_KU_ASV1308,Gigaspora_margarita_120_7A_KU_ASV1308_BeverSchultz,Gigaspora,margarita,120_7A,KU,BeverSchultz,ASV1308,Fungi,Mucoromycota,Glomeromycetes,Diversisporales,Gigasporaceae,Gigaspora,VTX00039,1,Fungi,Glomeromycota,Glomeromycetes,Gigasporales,Gigasporaceae,Gigaspora,margarita,0.9,Highly_Probable,arbuscular_mycorrhizal,root-associated,Glomeromycota,Gigasporaceae,Gigaspora,yes,yes,yes,primer
Gigaspora_margarita_120_7A_KU_ASV1309,Gigaspora_margarita_120_7A_KU_ASV1309_BeverSchultz,Gigaspora,margarita,120_7A,KU,BeverSchultz,ASV1309,Fungi,Mucoromycota,Glomeromycetes,Diversisporales,Gigasporaceae,Gigaspora,VTX00039,1,Fungi,Glomeromycota,Glomeromycetes,Gigasporales,Gigasporaceae,Gigaspora,margarita,0.7,Highly_Probable,arbuscular_mycorrhizal,root-associated,Glomeromycota,Gigasporaceae,Gigaspora,yes,yes,yes,primer
Gigaspora_margarita_120_7A_KU_ASV1311,Gigaspora_margarita_120_7A_KU_ASV1311_BeverSchultz,Gigaspora,margarita,120_7A,KU,BeverSchultz,ASV1311,Fungi,Mucoromycota,Glomeromycetes,Diversisporales,Gigasporaceae,Gigaspora,VTX00039,1,Fungi,Glomeromycota,Glomeromycetes,Gigasporales,Gigasporaceae,Gigaspora,margarita,0.8,Highly_Probable,arbuscular_mycorrhizal,root-associated,Glomeromycota,Gigasporaceae,Gigaspora,yes,yes,yes,primer
Racocetra_sp_179_Blask4_ZU_ASV1373,Racocetra_sp_179_Blask4_ZU_ASV1373_Blaszkowski,Racocetra,sp,179_Blask4,ZU,Blaszkowski,ASV1373,Fungi,Mucoromycota,Glomeromycetes,Diversisporales,Gigasporaceae,Scutellospora,VTX00041,0.9,Fungi,Glomeromycota,Glomeromycetes,Gigasporales,NA,NA,NA,1,Highly_Probable,NA,NA,Glomeromycota,Gigasporaceae,Racocetra,yes,yes,yes,primer
Racocetra_sp._179_Blask4_ZU_ASV1374,Racocetra_sp._179_Blask4_ZU_ASV1374_Blaszkowski,Racocetra,sp.,179_Blask4,ZU,Blaszkowski,ASV1374,Fungi,Mucoromycota,Glomeromycetes,Diversisporales,Gigasporaceae,Scutellospora,VTX00041,0.9,Fungi,Glomeromycota,Glomeromycetes,Gigasporales,NA,NA,NA,1,Highly_Probable,NA,NA,Glomeromycota,Gigasporaceae,Racocetra,yes,yes,yes,primer
Racocetra_sp._179_Blask4_ZU_ASV1375,Racocetra_sp._179_Blask4_ZU_ASV1375_Blaszkowski,Racocetra,sp.,179_Blask4,ZU,Blaszkowski,ASV1375,Fungi,Mucoromycota,Glomeromycetes,Diversisporales,Gigasporaceae,Scutellospora,VTX00041,0.9,Fungi,Glomeromycota,Glomeromycetes,Gigasporales,NA,NA,NA,1,Highly_Probable,NA,NA,Glomeromycota,Gigasporaceae,Racocetra,yes,yes,yes,primer
Funneliformis_mosseae_510_4A_KU_ASV1256,Funneliformis_mosseae_510_4A_KU_ASV1256_BeverSchultz,Funneliformis,mosseae,510_4A,KU,BeverSchultz,ASV1256,Fungi,Mucoromycota,Glomeromycetes,Glomerales,Glomeraceae,Glomus,VTX00067,1,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Funneliformis,NA,0.9,Highly_Probable,arbuscular_mycorrhizal,root-associated,Glomeromycota,Septoglomeraceae,Funneliformis,yes,yes,yes,primer
Funneliformis_mosseae_510_4A_KU_ASV1257,Funneliformis_mosseae_510_4A_KU_ASV1257_BeverSchultz,Funneliformis,mosseae,510_4A,KU,BeverSchultz,ASV1257,Fungi,Mucoromycota,Glomeromycetes,Glomerales,Glomeraceae,Glomus,VTX00067,1,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Funneliformis,NA,1,Highly_Probable,arbuscular_mycorrhizal,root-associated,Glomeromycota,Septoglomeraceae,Funneliformis,yes,yes,yes,primer
Funneliformis_mosseae_510_4A_KU_ASV1270,Funneliformis_mosseae_510_4A_KU_ASV1270_BeverSchultz,Funneliformis,mosseae,510_4A,KU,BeverSchultz,ASV1270,Fungi,Mucoromycota,Glomeromycetes,Glomerales,Glomeraceae,Glomus,VTX00067,1,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Funneliformis,NA,0.6,Highly_Probable,arbuscular_mycorrhizal,root-associated,Glomeromycota,Septoglomeraceae,Funneliformis,yes,yes,yes,primer
Funneliformis_mosseae_510_4A_KU_ASV1272,Funneliformis_mosseae_510_4A_KU_ASV1272_BeverSchultz,Funneliformis,mosseae,510_4A,KU,BeverSchultz,ASV1272,Fungi,Mucoromycota,Glomeromycetes,Glomerales,Glomeraceae,Glomus,VTX00067,1,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Funneliformis,mosseae,0.7,Highly_Probable,arbuscular_mycorrhizal,root-associated,Glomeromycota,Septoglomeraceae,Funneliformis,yes,yes,yes,primer
