ASV_updated,SSU_FAMILY_x_LSU_family,SSU_genus_x_LSU_genus,ITS_family_x_LSU_family,ITS_genus_x_LSU_genus,ITS_species_x_LSU_species
Gigaspora_margarita_120_7A_KU_ASV1308_BeverSchultz,Correct,Correct,Correct,Correct,Correct
Gigaspora_margarita_120_7A_KU_ASV1309_BeverSchultz,Correct,Correct,Correct,Correct,Correct
Gigaspora_margarita_120_7A_KU_ASV1311_BeverSchultz,Correct,Correct,Correct,Correct,Correct
Racocetra_sp_179_Blask4_ZU_ASV1373_Blaszkowski,Correct,Outdated,NA,NA,LSU_NA
Racocetra_sp._179_Blask4_ZU_ASV1374_Blaszkowski,Correct,Outdated,NA,NA,LSU_NA
Racocetra_sp._179_Blask4_ZU_ASV1375_Blaszkowski,Correct,Outdated,NA,NA,LSU_NA
Funneliformis_mosseae_510_4A_KU_ASV1256_BeverSchultz,Outdated,Outdated,Outdated,Correct,NA
Funneliformis_mosseae_510_4A_KU_ASV1257_BeverSchultz,Outdated,Outdated,Outdated,Correct,NA
Funneliformis_mosseae_510_4A_KU_ASV1270_BeverSchultz,Outdated,Outdated,Outdated,Correct,NA
Funneliformis_mosseae_510_4A_KU_ASV1272_BeverSchultz,Outdated,Outdated,Outdated,Correct,Correct
Funneliformis_mosseae_510_4A_KU_ASV1273_BeverSchultz,Outdated,Outdated,Outdated,Correct,NA
Funneliformis_mosseae_510_4A_KU_ASV1276_BeverSchultz,Outdated,Outdated,Outdated,Correct,Correct
Funneliformis_mosseae_510_4A_KU_ASV1277_BeverSchultz,Outdated,Outdated,Outdated,Correct,NA
Funneliformis_mosseae_87_11_KU_ASV1260_BeverSchultz,Outdated,Outdated,Outdated,Correct,NA
Funneliformis_mosseae_87_11_KU_ASV1262_BeverSchultz,Outdated,Outdated,Outdated,Correct,Correct
Funneliformis_mosseae_87_11_KU_ASV1263_BeverSchultz,Outdated,Outdated,Outdated,Correct,NA
Funneliformis_mosseae_87_11_KU_ASV1264_BeverSchultz,Outdated,Outdated,Outdated,Correct,Correct
Funneliformis_mosseae_87_11_KU_ASV1265_BeverSchultz,Outdated,Outdated,Outdated,Correct,Correct
Funneliformis_mosseae_87_11_KU_ASV1267_BeverSchultz,Outdated,Outdated,Outdated,Correct,Correct
Funneliformis_mosseae_87_11_KU_ASV1268_BeverSchultz,Outdated,Outdated,Outdated,Correct,NA
Funneliformis_mosseae_87_11_KU_ASV1274_BeverSchultz,Outdated,Outdated,Outdated,Correct,Correct
Funneliformis_mosseae_87_11_KU_ASV1281_BeverSchultz,Outdated,Outdated,Outdated,Correct,Correct
Funneliformis_mosseae_87_11_KU_ASV1283_BeverSchultz,Outdated,Outdated,Outdated,Correct,Correct
Funneliformis_mosseae_87_11_KU_ASV1285_BeverSchultz,Outdated,Outdated,Outdated,Correct,Correct
Funneliformis_mosseae_87_11_KU_ASV1286_BeverSchultz,Outdated,Outdated,Outdated,Correct,NA
Funneliformis_mosseae_87_11_KU_ASV1287_BeverSchultz,Outdated,Outdated,Outdated,Correct,NA
Ambispora_fennica_Af2_ZU_ASV1109_KrugerWalker,Correct,Correct,Correct,Correct,NA
Ambispora_fennica_Af2_ZU_ASV1110_KrugerWalker,Correct,Correct,Correct,Correct,NA
Ambispora_fennica_Af2_ZU_ASV1111_KrugerWalker,Correct,Correct,Correct,Correct,NA
Ambispora_fennica_Af2_ZU_ASV1112_KrugerWalker,Correct,Correct,Correct,Correct,NA
Ambispora_fennica_Af2_ZU_ASV1113_KrugerWalker,Correct,Correct,Correct,Correct,NA
Gigaspora_decipiens_AU102_9_KU_ASV1301_INVAM,Correct,Correct,Correct,Correct,Wrong
Gigaspora_decipiens_AU102_9_KU_ASV1302_INVAM,Correct,Correct,Correct,Correct,Wrong
Gigaspora_decipiens_AU102_9_KU_ASV1303_INVAM,Correct,Correct,Correct,Correct,Wrong
Scutellospora_calospora_AU212B_ZUII_ASV1413_INVAM,Correct,Correct,Outdated,Correct,NA
Scutellospora_calospora_AU212B_ZUII_ASV1414_INVAM,Correct,Correct,Outdated,Correct,NA
Funneliformis_mosseae_BEG12_ZU_ASV1007_BEG,Outdated,Outdated,Outdated,Correct,Correct
Funneliformis_mosseae_BEG12_ZUII_ASV1007_BEG,Outdated,Outdated,Outdated,Correct,Correct
Funneliformis_mosseae_BEG12_ZU_ASV1020_BEG,Outdated,Outdated,Outdated,Correct,Correct
Funneliformis_mosseae_BEG12_ZUII_ASV1020_BEG,Outdated,Outdated,Outdated,Correct,Correct
Funneliformis_mosseae_BEG12_ZU_ASV1036_BEG,Outdated,Outdated,Outdated,Correct,Correct
Funneliformis_mosseae_BEG12_ZUII_ASV1036_BEG,Outdated,Outdated,Outdated,Correct,Correct
Funneliformis_mosseae_BEG12_ZU_ASV1041_BEG,Outdated,Outdated,Outdated,Correct,Correct
Funneliformis_mosseae_BEG12_ZUII_ASV1041_BEG,Outdated,Outdated,Outdated,Correct,Correct
Funneliformis_mosseae_BEG12_ZU_ASV1050_BEG,Outdated,Outdated,Outdated,Correct,Correct
Funneliformis_mosseae_BEG12_ZUII_ASV1050_BEG,Outdated,Outdated,Outdated,Correct,Correct
Funneliformis_mosseae_BEG12_ZU_ASV1242_BEG,Outdated,Outdated,Outdated,Correct,Correct
Funneliformis_mosseae_BEG12_ZU_ASV1243_BEG,Outdated,Outdated,Outdated,Correct,Correct
Funneliformis_mosseae_BEG12_ZU_ASV1244_BEG,Outdated,Outdated,Outdated,Correct,Correct
Funneliformis_mosseae_BEG12_ZU_ASV1246_BEG,Outdated,Outdated,Outdated,Correct,Correct
Funneliformis_mosseae_BEG12_ZU_ASV1248_BEG,Outdated,Outdated,Outdated,Correct,Correct
Funneliformis_mosseae_BEG12_ZU_ASV1250_BEG,Outdated,Outdated,NA,NA,NA
Acaulospora_laevis_BEG13_ZUII_ASV1083_BEG,Correct,Correct,Correct,Correct,Correct
Acaulospora_laevis_BEG13_ZUII_ASV1086_BEG,Correct,Correct,Correct,Correct,Correct
Acaulospora_laevis_BEG13_ZUII_ASV1087_BEG,Correct,Correct,Correct,Correct,Correct
Funneliformis_mosseae_BEG161_ZU_ASV1240_BEG,Outdated,Outdated,Outdated,Correct,Correct
Funneliformis_mosseae_BEG161_ZU_ASV1241_BEG,Outdated,Outdated,Outdated,Correct,NA
Funneliformis_mosseae_BEG161_ZU_ASV1245_BEG,Outdated,Outdated,Outdated,Correct,NA
Funneliformis_mosseae_BEG161_ZU_ASV1247_BEG,Outdated,Outdated,Outdated,Correct,NA
Funneliformis_mosseae_BEG161_ZU_ASV1249_BEG,Outdated,Outdated,Outdated,Correct,NA
Funneliformis_mosseae_BEG161_ZU_ASV1252_BEG,Outdated,Outdated,Outdated,Correct,NA
Funneliformis_mosseae_BEG161_ZU_ASV1253_BEG,Outdated,Outdated,Outdated,Correct,NA
Funneliformis_mosseae_BEG161_ZU_ASV1254_BEG,Outdated,Outdated,Outdated,Correct,NA
Acaulospora_laevis_BEG242_ZUII_ASV1081_BEG,Correct,Correct,Correct,NA,NA
Acaulospora_laevis_BEG242_ZUII_ASV1085_BEG,Correct,Correct,Correct,NA,NA
Racocetra_gregaria_BEG243_ZU_ASV1002_BEG,Correct,Outdated,NA,NA,NA
Racocetra_gregaria_BEG243_ZUII_ASV1002_BEG,Correct,Outdated,NA,NA,NA
Racocetra_gregaria_BEG243_ZU_ASV1026_BEG,Correct,Outdated,NA,NA,NA
Racocetra_gregaria_BEG243_ZUII_ASV1026_BEG,Correct,Outdated,NA,NA,NA
Racocetra_gregaria_BEG243_ZU_ASV1029_BEG,Correct,Outdated,NA,NA,NA
Racocetra_gregaria_BEG243_ZUII_ASV1029_BEG,Correct,Outdated,NA,NA,NA
Racocetra_gregaria_BEG243_ZU_ASV1035_BEG,Correct,Outdated,NA,NA,NA
Racocetra_gregaria_BEG243_ZUII_ASV1035_BEG,Correct,Outdated,NA,NA,NA
Racocetra_gregaria_BEG243_ZU_ASV1051_BEG,Correct,Outdated,NA,NA,NA
Racocetra_gregaria_BEG243_ZUII_ASV1051_BEG,Correct,Outdated,NA,NA,NA
Racocetra_gregaria_BEG243_ZUII_ASV1364_BEG,Correct,Outdated,NA,NA,NA
Racocetra_gregaria_BEG243_ZUII_ASV1365_BEG,Correct,Outdated,NA,NA,NA
Racocetra_gregaria_BEG243_ZU_ASV1366_BEG,Correct,Outdated,NA,NA,NA
Racocetra_gregaria_BEG243_ZU_ASV1367_BEG,Correct,Outdated,NA,NA,NA
Racocetra_gregaria_BEG243_ZU_ASV1368_BEG,Correct,Outdated,NA,NA,NA
Racocetra_gregaria_BEG243_ZU_ASV1369_BEG,Correct,Outdated,NA,NA,NA
Scutellospora_calospora_BEG245_ZUII_ASV1409_BEG,Correct,Correct,Outdated,Correct,NA
Scutellospora_calospora_BEG245_ZUII_ASV1410_BEG,Correct,Correct,Outdated,Correct,NA
Scutellospora_calospora_BEG245_ZUII_ASV1411_BEG,Correct,Correct,Outdated,Correct,NA
