sample	raw	trimmed	filtered	denoised	nobim
m64141e_241218_163908.hifi_reads.F1--R1.hifi_reads.fastq.gz	249	221	184	178	178
m64141e_241218_163908.hifi_reads.F1--R11.hifi_reads.fastq.gz	1381	1257	1051	1051	1051
m64141e_241218_163908.hifi_reads.F1--R12.hifi_reads.fastq.gz	1	1	0	0	0
m64141e_241218_163908.hifi_reads.F1--R13.hifi_reads.fastq.gz	2	2	1	1	1
m64141e_241218_163908.hifi_reads.F1--R15.hifi_reads.fastq.gz	852	787	672	597	597
m64141e_241218_163908.hifi_reads.F1--R2.hifi_reads.fastq.gz	515	473	400	397	397
m64141e_241218_163908.hifi_reads.F1--R5.hifi_reads.fastq.gz	821	741	631	626	626
m64141e_241218_163908.hifi_reads.F1--R6.hifi_reads.fastq.gz	7	7	3	2	2
m64141e_241218_163908.hifi_reads.F1--R7.hifi_reads.fastq.gz	139	124	107	107	107
m64141e_241218_163908.hifi_reads.F1--R9.hifi_reads.fastq.gz	19	19	16	15	15
m64141e_241218_163908.hifi_reads.F2--R1.hifi_reads.fastq.gz	2447	2211	1755	1749	1749
m64141e_241218_163908.hifi_reads.F2--R11.hifi_reads.fastq.gz	388	362	299	290	290
m64141e_241218_163908.hifi_reads.F2--R12.hifi_reads.fastq.gz	5	5	1	1	1
m64141e_241218_163908.hifi_reads.F2--R13.hifi_reads.fastq.gz	9	4	4	1	1
m64141e_241218_163908.hifi_reads.F2--R15.hifi_reads.fastq.gz	6	6	2	1	1
m64141e_241218_163908.hifi_reads.F2--R2.hifi_reads.fastq.gz	661	611	517	514	514
m64141e_241218_163908.hifi_reads.F2--R3.hifi_reads.fastq.gz	1	0	0	0	0
m64141e_241218_163908.hifi_reads.F2--R5.hifi_reads.fastq.gz	300	278	255	252	252
m64141e_241218_163908.hifi_reads.F2--R6.hifi_reads.fastq.gz	181	156	137	135	135
m64141e_241218_163908.hifi_reads.F2--R7.hifi_reads.fastq.gz	1	0	0	0	0
m64141e_241218_163908.hifi_reads.F2--R9.hifi_reads.fastq.gz	1882	1755	1470	1448	1247
m64141e_241218_163908.hifi_reads.F3--R1.hifi_reads.fastq.gz	1315	1213	1017	994	994
m64141e_241218_163908.hifi_reads.F3--R11.hifi_reads.fastq.gz	100	93	74	68	68
m64141e_241218_163908.hifi_reads.F3--R12.hifi_reads.fastq.gz	615	583	499	499	499
m64141e_241218_163908.hifi_reads.F3--R13.hifi_reads.fastq.gz	2	2	0	0	0
m64141e_241218_163908.hifi_reads.F3--R15.hifi_reads.fastq.gz	711	665	573	572	572
m64141e_241218_163908.hifi_reads.F3--R2.hifi_reads.fastq.gz	577	535	461	460	460
m64141e_241218_163908.hifi_reads.F3--R3.hifi_reads.fastq.gz	559	525	466	412	412
m64141e_241218_163908.hifi_reads.F3--R4.hifi_reads.fastq.gz	64	60	46	46	46
m64141e_241218_163908.hifi_reads.F3--R5.hifi_reads.fastq.gz	7	6	3	2	2
m64141e_241218_163908.hifi_reads.F3--R6.hifi_reads.fastq.gz	2	2	2	1	1
m64141e_241218_163908.hifi_reads.F3--R9.hifi_reads.fastq.gz	1268	1181	1000	999	999
m64141e_241218_163908.hifi_reads.F4--R1.hifi_reads.fastq.gz	4699	4287	3421	3344	2097
m64141e_241218_163908.hifi_reads.F4--R11.hifi_reads.fastq.gz	1424	1280	1067	1063	1055
m64141e_241218_163908.hifi_reads.F4--R12.hifi_reads.fastq.gz	12	12	4	2	2
m64141e_241218_163908.hifi_reads.F4--R13.hifi_reads.fastq.gz	2	2	0	0	0
m64141e_241218_163908.hifi_reads.F4--R2.hifi_reads.fastq.gz	2	2	0	0	0
m64141e_241218_163908.hifi_reads.F4--R3.hifi_reads.fastq.gz	3	3	1	1	1
m64141e_241218_163908.hifi_reads.F4--R5.hifi_reads.fastq.gz	7	5	5	2	2
m64141e_241218_163908.hifi_reads.F4--R6.hifi_reads.fastq.gz	1854	1694	1356	1347	1231
m64141e_241218_163908.hifi_reads.F4--R7.hifi_reads.fastq.gz	2	2	2	2	2
m64141e_241218_163908.hifi_reads.F4--R9.hifi_reads.fastq.gz	847	789	654	633	633
m64141e_241218_163908.hifi_reads.F5--R1.hifi_reads.fastq.gz	6	6	1	1	1
m64141e_241218_163908.hifi_reads.F5--R10.hifi_reads.fastq.gz	1004	911	785	586	586
m64141e_241218_163908.hifi_reads.F5--R11.hifi_reads.fastq.gz	705	635	528	508	496
m64141e_241218_163908.hifi_reads.F5--R12.hifi_reads.fastq.gz	2288	2066	1628	1612	1612
m64141e_241218_163908.hifi_reads.F5--R13.hifi_reads.fastq.gz	175	156	138	138	138
m64141e_241218_163908.hifi_reads.F5--R15.hifi_reads.fastq.gz	1265	1179	983	905	905
m64141e_241218_163908.hifi_reads.F5--R2.hifi_reads.fastq.gz	1152	1061	921	915	913
m64141e_241218_163908.hifi_reads.F5--R3.hifi_reads.fastq.gz	2	2	1	1	1
m64141e_241218_163908.hifi_reads.F5--R5.hifi_reads.fastq.gz	53	25	18	15	15
m64141e_241218_163908.hifi_reads.F5--R6.hifi_reads.fastq.gz	727	656	549	547	547
m64141e_241218_163908.hifi_reads.F5--R7.hifi_reads.fastq.gz	104	91	81	81	81
m64141e_241218_163908.hifi_reads.F5--R9.hifi_reads.fastq.gz	8	8	4	1	1
m64141e_241218_163908.hifi_reads.F6--R1.hifi_reads.fastq.gz	173	162	138	121	121
m64141e_241218_163908.hifi_reads.F6--R12.hifi_reads.fastq.gz	5	5	1	1	1
m64141e_241218_163908.hifi_reads.F6--R13.hifi_reads.fastq.gz	975	894	759	757	757
m64141e_241218_163908.hifi_reads.F6--R15.hifi_reads.fastq.gz	4	4	2	1	1
m64141e_241218_163908.hifi_reads.F6--R2.hifi_reads.fastq.gz	1314	1200	1026	1010	1010
m64141e_241218_163908.hifi_reads.F6--R3.hifi_reads.fastq.gz	1	0			
m64141e_241218_163908.hifi_reads.F6--R6.hifi_reads.fastq.gz	1495	1366	1117	1110	1110
m64141e_241218_163908.hifi_reads.F6--R7.hifi_reads.fastq.gz	1	0	0	0	0
m64141e_241218_163908.hifi_reads.F6--R9.hifi_reads.fastq.gz	1348	1225	1000	999	999
m64141e_241218_163908.hifi_reads.F7--R1.hifi_reads.fastq.gz	366	333	282	282	282
m64141e_241218_163908.hifi_reads.F7--R11.hifi_reads.fastq.gz	1700	1558	1291	1288	1288
m64141e_241218_163908.hifi_reads.F7--R12.hifi_reads.fastq.gz	6	5	0	0	0
m64141e_241218_163908.hifi_reads.F7--R13.hifi_reads.fastq.gz	2	2	2	2	2
m64141e_241218_163908.hifi_reads.F7--R15.hifi_reads.fastq.gz	4	4	1	1	1
m64141e_241218_163908.hifi_reads.F7--R2.hifi_reads.fastq.gz	20	20	19	15	15
m64141e_241218_163908.hifi_reads.F7--R3.hifi_reads.fastq.gz	1	0	0	0	0
m64141e_241218_163908.hifi_reads.F7--R5.hifi_reads.fastq.gz	779	708	599	596	596
m64141e_241218_163908.hifi_reads.F7--R6.hifi_reads.fastq.gz	1859	1685	1393	1085	1085
m64141e_241218_163908.hifi_reads.F7--R9.hifi_reads.fastq.gz	4	4	0	0	0
m64141e_241218_163908.hifi_reads.F8--R1.hifi_reads.fastq.gz	727	662	540	530	530
