samples	trimmed	filtered	denoised	nobim
A_fennica_Af2_1A_cut.fastq.gz	2320	558	552	552
A_koskei_Sc705_5P_cut.fastq.gz	2473	567	563	563
A_koskei_WV658_1H_cut.fastq.gz	1666	467	467	467
A_koskei_WV685_1F_cut.fastq.gz	3590	1101	1101	1101
A_trappei_CU132_5P_cut.fastq.gz	3320	350	347	347
Ac_koskei_WV685_1A_cut.fastq.gz	4359	1515	1432	1393
Ac_koskei_WV685_1B_cut.fastq.gz	2034	446	367	329
Ac_koskei_WV685_1C_cut.fastq.gz	2752	603	526	488
Ac_morrowiae_BR983A_1A_cut.fastq.gz	10901	3356	3138	2992
Ac_morrowiae_BR983A_1B_cut.fastq.gz	1535	457	351	335
Ac_morrowiae_BR983A_5A_cut.fastq.gz	2959	916	898	888
Am_gerdemannii_ON205A_1B_cut.fastq.gz	1363	507	507	507
Am_gerdemannii_ON205A_1B_SV_cut.fastq.gz	682	180	172	172
Am_gerdemannii_ON205A_1C_SV_cut.fastq.gz	2067	438	438	438
C_corymbiforme_Blask5_1A_cut.fastq.gz	2937	875	875	875
C_corymbiforme_Blask5_1B_cut.fastq.gz	2958	144	130	130
C_corymbiforme_Blask5_1C_cut.fastq.gz	2999	357	347	343
C_luteum_SA101_5S_cut.fastq.gz	954	101	98	98
D_heterogama_BEG35_1M_cut.fastq.gz	3884	502	486	486
D_heterogama_BEG35_1N_cut.fastq.gz	3024	246	240	225
D_heterogama_BEG35_1O_cut.fastq.gz	1539	135	118	118
De_heterogama_BR154_1A_cut.fastq.gz	4444	898	894	894
De_heterogama_BR154_1B_cut.fastq.gz	5883	1277	1270	1270
De_heterogama_BR154_1C_cut.fastq.gz	2840	604	599	599
De_heterogama_IL203A_1A_cut.fastq.gz	6930	1667	1667	1667
De_heterogama_IL203A_1B_cut.fastq.gz	6930	1667	1667	1667
De_heterogama_IL203A_1C_cut.fastq.gz	6826	1575	1570	1570
Di_epigaea_KS210_1A_cut.fastq.gz	3565	578	458	444
Di_epigaea_KS210_1C_cut.fastq.gz	2470	798	764	751
Di_epigaea_KS210_5A_cut.fastq.gz	1525	248	214	214
E_infrequens_Blask3_1F_cut.fastq.gz	129	1	1	1
F_mosseae_BEG161_10A_cut.fastq.gz	2583	188	181	181
F_mosseae_BEG161_1A_cut.fastq.gz	3061	424	414	414
F_mosseae_BEG161_5B_cut.fastq.gz	660	45	45	45
F_mosseae_BEG95_5A_cut.fastq.gz	2725	192	168	168
Fu_mosseae_BEG12_1A_cut.fastq.gz	2340	471	463	463
Fu_mosseae_BEG12_1B_cut.fastq.gz	1414	243	239	239
Fu_mosseae_BEG12_1C_cut.fastq.gz	3003	334	327	327
G_rosea_BEG9_1Na_ cut.fastq.gz	3293	296	265	265
G_rosea_BEG9_1Nb_cut.fastq.gz	4152	342	296	238
Gi_rosea_BR155B_1A_cut.fastq.gz	4938	774	700	654
Gi_rosea_BR155B_1B_cut.fastq.gz	5306	967	929	929
Gi_rosea_BR155B_1C_cut.fastq.gz	8886	1534	1489	1465
Gi_rosea_KS885_1A_cut.fastq.gz	4050	814	802	802
Gi_rosea_KS885_1B_cut.fastq.gz	7348	1657	1636	1636
Gi_rosea_KS885_1C_cut.fastq.gz	5924	1074	1059	1056
P_laccatum_AH960_55_cut.fastq.gz	4985	1473	1473	1473
P_occultum_CU126_10A_cut.fastq.gz	2331	196	185	185
P_occultum_CU126_10B_cut.fastq.gz	3579	553	553	553
P_occultum_CU126_5B_cut.fastq.gz	3240	399	399	399
R_irregularis_PH5_1A_cut.fastq.gz	4865	1481	1479	1479
Ra_gregaria_BEG243_1A_cut.fastq.gz	5648	1505	1505	1505
Ra_gregaria_BEG243_1B_cut.fastq.gz	5449	1483	1482	1482
Ra_gregaria_BEG243_1C_cut.fastq.gz	2989	411	395	395
Racocetra_sp_179_Blask4_10A_cut.fastq.gz	4195	944	925	908
S_calospora_IL209_1A_cut.fastq.gz	1713	134	123	116
S_calospora_IL209_1C_cut.fastq.gz	3582	424	409	382
S_cerrevisiae_Yeast_cut.fastq.gz	1765	132	118	118
S_viscosum_AH179_15_1A_cut.fastq.gz	4688	1511	1509	1509
S_viscosum_AH179_15_1B_cut.fastq.gz	1888	455	447	445
S_viscosum_AH179_15_1C_cut.fastq.gz	3386	1149	1142	1142
total	215844	44739	43414	42897
		20.70%	20.10%	19.90%
