sample	trimmed	filtered	denoised	nobim
A_leptoticha_CR312_1A_cut.fastq.gz	808	11	4	4
A_leptoticha_CR312_1B_cut.fastq.gz	963	71	69	69
A_leptoticha_CR312_1C_cut.fastq.gz	992	32	20	20
Ac_koskei_WV685_1A_cut.fastq.gz	622	63	57	57
Ac_koskei_WV685_1B_cut.fastq.gz	179	9	4	4
Ac_koskei_WV685_1C_cut.fastq.gz	375	19	8	8
Ac_laevis_BEG13_1E_cut.fastq.gz	301	4	1	1
Ac_laevis_BEG13_5_2_cut.fastq.gz	470	9	9	9
Ac_laevis_BEG13_5_cut.fastq.gz	436	7	3	3
Ac_Laevis_BEG242_1D_cut.fastq.gz	760	26	16	16
Ac_Laevis_BEG242_1F_cut.fastq.gz	484	9	6	6
Ac_Laevis_BEG242_1G_cut.fastq.gz	435	12	11	11
Ac_Laevis_BEG26_1_3_cut.fastq.gz	1345	76	60	60
Ac_Laevis_BEG26_1C_cut.fastq.gz	1068	29	7	7
Ac_Laevis_BEG26_1D_cut.fastq.gz	847	55	42	42
Ac_morrowiae_BR983A_1A_cut.fastq.gz	523	53	48	48
Ac_morrowiae_BR983A_1B_cut.fastq.gz	1034	104	75	73
Ac_morrowiae_BR983A_5A_cut.fastq.gz	1003	68	61	61
Am_fennica_fromAtt555_36_10g_cut.fastq.gz	357	5	2	2
Am_gerdemannii_MT106_1C_cut.fastq.gz	221	6	2	2
Am_gerdemannii_MT106_5A_cut.fastq.gz	471	11	2	2
Am_gerdemannii_MT106_5B_cut.fastq.gz	344	5	1	1
Am_gerdemannii_ON205A_1B_cut.fastq.gz	428	65	65	65
Am_gerdemannii_ON205A_1B_SV_cut.fastq.gz	805	36	36	36
Am_gerdemannii_ON205A_1C_SV_cut.fastq.gz	498	22	20	20
Cl_claroideum_BEG23fromKrc_5B_cut.fastq.gz	241	6	6	6
Cl_etunicatum_BEG247_1A_cut.fastq.gz	406	18	17	17
Cl_etunicatum_BEG247_1C_cut.fastq.gz	547	32	32	32
Cl_etunicatum_BEG247_5B_cut.fastq.gz	402	18	17	17
Cl_Etunicatum_IN101_10B_cut.fastq.gz	15	2	1	1
Cl_Etunicatum_IN101_1A_cut.fastq.gz	627	71	64	64
Cl_Etunicatum_IN101_1B_cut.fastq.gz	1159	115	107	107
Cl_Luteum_CR308_1A_cut.fastq.gz	2081	212	210	210
Cl_Luteum_CR308_1C_cut.fastq.gz	1329	164	164	164
Cl_Luteum_CR308_5A_cut.fastq.gz	566	26	26	26
Cl_luteum_SA101_10A_cut.fastq.gz	397	22	22	22
De_heterogama_BEG35_10_cut.fastq.gz	408	3	2	2
De_heterogama_BEG35_5_cut.fastq.gz	377	3	2	2
De_heterogama_BR154_1A_cut.fastq.gz	1172	49	49	49
De_heterogama_BR154_1B_cut.fastq.gz	1257	54	51	51
De_heterogama_BR154_1C_cut.fastq.gz	957	49	42	42
De_heterogama_IL203A_1A_cut.fastq.gz	1401	75	72	72
De_heterogama_IL203A_1B_cut.fastq.gz	719	30	30	30
De_heterogama_IL203A_1C_cut.fastq.gz	1504	81	79	79
Di_epigaea_KS210_1A_cut.fastq.gz	280	15	8	8
Di_epigaea_KS210_1C_cut.fastq.gz	496	38	33	33
Di_epigaea_KS210_5A_cut.fastq.gz	419	7	4	4
Di_spurca_W6227_10_cut.fastq.gz	419	1	1	1
Di_spurca_W6227_5C4_cut.fastq.gz	356	8	8	8
Di_spurca_W6227_5C5_cut.fastq.gz	481	4	2	2
En_infrequens_Blaszk3_10A_cut.fastq.gz	525	23	22	22
Fu_mosseae_BEG12_1A_cut.fastq.gz	532	24	23	23
