asv	sequencing_depth	species	samples	cultures	single_or_multiple_cultures	name
zuzana_ASV_1	4868	Many_species	z23|z27|z7|z44|z56|z32|z57|z50|z46|z2	Af2|WV658|WV685|BR983A|KS210|PH5|	Multi	Many_species_Af2|WV658|WV685|BR983A|KS210|PH5|_zuzana_ASV_1
zuzana_ASV_2	2133	Acaulospora_morrowiae	z57	BR983A	Single	Acaulospora_morrowiae_BR983A_zuzana_ASV_2
zuzana_ASV_3	1589	Gigaspora_rosea	z42|z41|z33|z45|z34|z37	BR155B|KS885	Multi	Gigaspora_rosea_BR155B|KS885_zuzana_ASV_3
zuzana_ASV_4	1521	Gigaspora_rosea	z42|z41|z33|z45|z34|z37	BR155B|KS885	Multi	Gigaspora_rosea_BR155B|KS885_zuzana_ASV_4
zuzana_ASV_5	1340	Many_species	z57|z46|z1	BR983A|KS210|AH960_55	Multi	Many_species_BR983A|KS210|AH960_55_zuzana_ASV_5
zuzana_ASV_6	1293	Many_species	z11|z22|z9|z13	CU132|CU126	Multi	Many_species_CU132|CU126_zuzana_ASV_6
zuzana_ASV_7	1181	Dentiscutata_heterogama	z35|z47|z36	IL203A	Single	Dentiscutata_heterogama_IL203A_zuzana_ASV_7
zuzana_ASV_8	1142	Septoglomus_viscosum	z10	AH179	Single	Septoglomus_viscosum_AH179_zuzana_ASV_8
zuzana_ASV_9	957	Septoglomus_viscosum	z3	AH179	Single	Septoglomus_viscosum_AH179_zuzana_ASV_9
zuzana_ASV_10	914	Dentiscutata_heterogama	z35|z47|z36	IL203A	Single	Dentiscutata_heterogama_IL203A_zuzana_ASV_10
zuzana_ASV_11	877	Many_species	z57|z18	BR983A|Blaszk5	Multi	Many_species_BR983A|Blaszk5_zuzana_ASV_11
zuzana_ASV_12	876	Gigaspora_rosea	z42|z41|z33|z45|z34|z37	BR155B|KS885	Multi	Gigaspora_rosea_BR155B|KS885_zuzana_ASV_12
zuzana_ASV_13	824	Gigaspora_rosea	z42|z41|z33|z45|z34|z37	BR155B|KS885	Multi	Gigaspora_rosea_BR155B|KS885_zuzana_ASV_13
zuzana_ASV_14	819	Gigaspora_rosea	z42|z41|z33|z45|z34|z37	BR155B|KS885	Multi	Gigaspora_rosea_BR155B|KS885_zuzana_ASV_14
zuzana_ASV_15	774	Racocetra_gregaria	z39|z40|z49|z4	BEG243|179_Blask4	Multi	Racocetra_gregaria_BEG243|179_Blask4_zuzana_ASV_15
zuzana_ASV_16	705	Diversispora_epigaea	z53	KS211	Single	Diversispora_epigaea_KS211_zuzana_ASV_16
zuzana_ASV_17	683	Dentiscutata_heterogama	z35|z47|z36	IL203A	Single	Dentiscutata_heterogama_IL203A_zuzana_ASV_17
zuzana_ASV_18	679	Many_species	z43|z38|z51|z54	BR154|BEG12	Multi	Many_species_BR154|BEG12_zuzana_ASV_18
zuzana_ASV_19	624	Dentiscutata_heterogama	z35|z47|z36	IL203A	Single	Dentiscutata_heterogama_IL203A_zuzana_ASV_19
zuzana_ASV_20	563	Acaulospora_koskei	z21	SC705	Single	Acaulospora_koskei_SC705_zuzana_ASV_20
zuzana_ASV_21	556	Acaulospora_morrowiae	z57	BR983A	Single	Acaulospora_morrowiae_BR983A_zuzana_ASV_21
