"ASV2"	"ASV1"	"species_1"	"cultures_1"	"species_2"	"cultures_2"
"1"	"Acaulospora_koskei_WV685_zuzana_ASV_101"	"Scutellospora_calospora_AU212B_zuzana_RSII_ASV_4"	"Scutellospora_calospora"	"AU212B"	"Acaulospora_koskei"	"WV685"
"2"	"Acaulospora_koskei_WV685_zuzana_ASV_109"	"Acaulospora_koskei_WV685_zuzana_RSII_ASV_93"	"Acaulospora_koskei"	"WV685"	"Acaulospora_koskei"	"WV685"
"3"	"Acaulospora_koskei_WV685_zuzana_ASV_181"	"Entrophospora_etunicatum_BEG247_zuzana_RSII_ASV_59"	"Entrophospora_etunicatum"	"BEG247"	"Acaulospora_koskei"	"WV685"
"4"	"Acaulospora_koskei_WV685_zuzana_ASV_50"	"Acaulospora_koskei_WV685_zuzana_RSII_ASV_66"	"Acaulospora_koskei"	"WV685"	"Acaulospora_koskei"	"WV685"
"5"	"Acaulospora_koskei_WV685_zuzana_ASV_58"	"Acaulospora_koskei_WV685_zuzana_RSII_ASV_54"	"Acaulospora_koskei"	"WV685"	"Acaulospora_koskei"	"WV685"
"6"	"Acaulospora_koskei_WV685_zuzana_ASV_68"	"Acaulospora_koskei_WV685_zuzana_RSII_ASV_87"	"Acaulospora_koskei"	"WV685"	"Acaulospora_koskei"	"WV685"
"7"	"Acaulospora_morrowiae_BR983A_zuzana_ASV_130"	"Acaulospora_morrowiae_BR983A_zuzana_RSII_ASV_89"	"Acaulospora_morrowiae"	"BR983A"	"Acaulospora_morrowiae"	"BR983A"
"8"	"Acaulospora_morrowiae_BR983A_zuzana_ASV_137"	"Acaulospora_morrowiae_BR983A_zuzana_RSII_ASV_72"	"Acaulospora_morrowiae"	"BR983A"	"Acaulospora_morrowiae"	"BR983A"
"9"	"Acaulospora_morrowiae_BR983A_zuzana_ASV_161"	"Acaulospora_morrowiae_BR983A_zuzana_RSII_ASV_90"	"Acaulospora_morrowiae"	"BR983A"	"Acaulospora_morrowiae"	"BR983A"
"10"	"Acaulospora_morrowiae_BR983A_zuzana_ASV_2"	"Acaulospora_morrowiae_BR983A_zuzana_RSII_ASV_8"	"Acaulospora_morrowiae"	"BR983A"	"Acaulospora_morrowiae"	"BR983A"
"11"	"Acaulospora_morrowiae_BR983A_zuzana_ASV_33"	"Acaulospora_morrowiae_BR983A_zuzana_RSII_ASV_55"	"Acaulospora_morrowiae"	"BR983A"	"Acaulospora_morrowiae"	"BR983A"
"12"	"Ambispora_gerdemannii_MT106_ASV_116"	"Ambispora_leptoticha_CR312_zuzana_RSII_ASV_69"	"Ambispora_leptoticha"	"CR312"	"Ambispora_gerdemannii"	"MT106"
"13"	"Ambispora_gerdemannii_MT106_ASV_83"	"Ambispora_leptoticha_CR312_zuzana_RSII_ASV_68"	"Ambispora_leptoticha"	"CR312"	"Ambispora_gerdemannii"	"MT106"
"14"	"Ambispora_gerdemannii_ON205A_zuzana_ASV_26"	"Ambispora_gerdemannii_ON205A_zuzana_RSII_ASV_6"	"Ambispora_gerdemannii"	"ON205A"	"Ambispora_gerdemannii"	"ON205A"
"15"	"Ambispora_gerdemannii_ON205A_zuzana_ASV_53"	"Ambispora_gerdemannii_ON205A_zuzana_RSII_ASV_51"	"Ambispora_gerdemannii"	"ON205A"	"Ambispora_gerdemannii"	"ON205A"
"16"	"Ambispora_gerdemannii_ON205A_zuzana_ASV_63"	"Ambispora_gerdemannii_ON205A_zuzana_RSII_ASV_25"	"Ambispora_gerdemannii"	"ON205A"	"Ambispora_gerdemannii"	"ON205A"
"17"	"Ambispora_gerdemannii_ON205A_zuzana_ASV_86"	"Ambispora_gerdemannii_ON205A_zuzana_RSII_ASV_50"	"Ambispora_gerdemannii"	"ON205A"	"Ambispora_gerdemannii"	"ON205A"
"18"	"Dentiscutata_heterogama_BEG35_zuzana_ASV_45"	"Dentiscutata_heterogama_BEG35_zuzana_RSII_ASV_102"	"Dentiscutata_heterogama"	"BEG35"	"Dentiscutata_heterogama"	"BEG35"
"19"	"Dentiscutata_heterogama_BEG35_zuzana_ASV_70"	"Dentiscutata_heterogama_BEG35_zuzana_RSII_ASV_103"	"Dentiscutata_heterogama"	"BEG35"	"Dentiscutata_heterogama"	"BEG35"
"20"	"Dentiscutata_heterogama_BR154_zuzana_ASV_25"	"Dentiscutata_heterogama_BR154_zuzana_RSII_ASV_20"	"Dentiscutata_heterogama"	"BR154"	"Dentiscutata_heterogama"	"BR154"
"21"	"Dentiscutata_heterogama_BR154_zuzana_ASV_27"	"Dentiscutata_heterogama_BR154_zuzana_RSII_ASV_35"	"Dentiscutata_heterogama"	"BR154"	"Dentiscutata_heterogama"	"BR154"
"22"	"Dentiscutata_heterogama_BR154_zuzana_ASV_37"	"Dentiscutata_heterogama_BR154_zuzana_RSII_ASV_45"	"Dentiscutata_heterogama"	"BR154"	"Dentiscutata_heterogama"	"BR154"
"23"	"Dentiscutata_heterogama_BR154_zuzana_ASV_48"	"Dentiscutata_heterogama_BR154_zuzana_RSII_ASV_60"	"Dentiscutata_heterogama"	"BR154"	"Dentiscutata_heterogama"	"BR154"
"24"	"Dentiscutata_heterogama_BR154_zuzana_ASV_52"	"Dentiscutata_heterogama_BR154_zuzana_RSII_ASV_46"	"Dentiscutata_heterogama"	"BR154"	"Dentiscutata_heterogama"	"BR154"
"25"	"Dentiscutata_heterogama_BR154_zuzana_ASV_72"	"Dentiscutata_heterogama_BR154_zuzana_RSII_ASV_81"	"Dentiscutata_heterogama"	"BR154"	"Dentiscutata_heterogama"	"BR154"
