Barcode,BioSample
F5--R11,5
F8--R11,6
F2--R11,7
F1--R11,8
F7--R11,9
F3--R11,10
F4--R11,11
F6--R15,12
F5--R1,13
F8--R1,14
F2--R1,15
F1--R1,16
F7--R1,17
F3--R1,18
F4--R1,19
F6--R1,20
F5--R5,21
F8--R5,22
F2--R5,23
F1--R5,24
F7--R5,25
F3--R5,26
F4--R5,27
F6--R5,28
F5--R6,29
F8--R6,30
F2--R6,31
F1--R6,32
F7--R6,33
F3--R6,34
F4--R6,35
F6--R6,36
F5--R2,37
F8--R2,38
F2--R2,39
F1--R2,40
F7--R2,41
F3--R2,42
F4--R2,43
F6--R2,44
F5--R13,45
F8--R13,46
F2--R13,47
F1--R13,48
F7--R13,49
F3--R13,50
F4--R13,51
F6--R13,52
F5--R3,53
F8--R3,54
F2--R3,55
F1--R3,56
F7--R3,57
F3--R3,58
F4--R3,59
F6--R3,60
F5--R7,61
F8--R7,62
F2--R7,63
F1--R7,64
F7--R7,65
F3--R7,66
F4--R7,67
F6--R7,68
F5--R12,69
F8--R12,70
F2--R12,71
F1--R12,72
F7--R12,73
F3--R12,74
F4--R12,75
F6--R12,76
F5--R15,77
F8--R15,78
F2--R15,79
F1--R15,80
F7--R15,81
F3--R15,82
F5--R9,83
F8--R9,84
F2--R9,85
F1--R9,86
F7--R9,87
F3--R9,88
F4--R9,89
F6--R9,90
F5--R4,91
F8--R4,92
F2--R4,93
F1--R4,94
F7--R4,95
F3--R4,96
F4--R4,97
F6--R4,98
F5--R8,99
F8--R8,110
F2--R8,111
F1--R8,112
F7--R8,113
F3--R8,114
F4--R8,115
F6--R8,116
F5--R10,117
F8--R10,118
F5--R14,119
F8--R14,120
F2--R14,121
F1--R14,122
F7--R14,123
F3--R14,124
