"","barcode","median"
"/home/robert/Public/Github/pacbio-pipeline/ku-invam/filtered/m64141e_241218_163908.hifi_reads.F1--R1.hifi_reads.fastq.gz","F1--R1",2769
"/home/robert/Public/Github/pacbio-pipeline/ku-invam/filtered/m64141e_241218_163908.hifi_reads.F1--R11.hifi_reads.fastq.gz","F1--R11",2449
"/home/robert/Public/Github/pacbio-pipeline/ku-invam/filtered/m64141e_241218_163908.hifi_reads.F1--R13.hifi_reads.fastq.gz","F1--R13",5299
"/home/robert/Public/Github/pacbio-pipeline/ku-invam/filtered/m64141e_241218_163908.hifi_reads.F1--R15.hifi_reads.fastq.gz","F1--R15",2347
"/home/robert/Public/Github/pacbio-pipeline/ku-invam/filtered/m64141e_241218_163908.hifi_reads.F1--R2.hifi_reads.fastq.gz","F1--R2",2461
"/home/robert/Public/Github/pacbio-pipeline/ku-invam/filtered/m64141e_241218_163908.hifi_reads.F1--R5.hifi_reads.fastq.gz","F1--R5",2442
"/home/robert/Public/Github/pacbio-pipeline/ku-invam/filtered/m64141e_241218_163908.hifi_reads.F1--R6.hifi_reads.fastq.gz","F1--R6",4755
"/home/robert/Public/Github/pacbio-pipeline/ku-invam/filtered/m64141e_241218_163908.hifi_reads.F1--R7.hifi_reads.fastq.gz","F1--R7",2339
"/home/robert/Public/Github/pacbio-pipeline/ku-invam/filtered/m64141e_241218_163908.hifi_reads.F1--R9.hifi_reads.fastq.gz","F1--R9",2449
"/home/robert/Public/Github/pacbio-pipeline/ku-invam/filtered/m64141e_241218_163908.hifi_reads.F2--R1.hifi_reads.fastq.gz","F2--R1",2500
"/home/robert/Public/Github/pacbio-pipeline/ku-invam/filtered/m64141e_241218_163908.hifi_reads.F2--R11.hifi_reads.fastq.gz","F2--R11",2478
"/home/robert/Public/Github/pacbio-pipeline/ku-invam/filtered/m64141e_241218_163908.hifi_reads.F2--R12.hifi_reads.fastq.gz","F2--R12",2504
"/home/robert/Public/Github/pacbio-pipeline/ku-invam/filtered/m64141e_241218_163908.hifi_reads.F2--R13.hifi_reads.fastq.gz","F2--R13",4340.5
"/home/robert/Public/Github/pacbio-pipeline/ku-invam/filtered/m64141e_241218_163908.hifi_reads.F2--R15.hifi_reads.fastq.gz","F2--R15",4953.5
"/home/robert/Public/Github/pacbio-pipeline/ku-invam/filtered/m64141e_241218_163908.hifi_reads.F2--R2.hifi_reads.fastq.gz","F2--R2",2649
"/home/robert/Public/Github/pacbio-pipeline/ku-invam/filtered/m64141e_241218_163908.hifi_reads.F2--R5.hifi_reads.fastq.gz","F2--R5",1191
