"","reads.in","reads.out"
"m64141e_241218_163908.hifi_reads.F1--R1.hifi_reads.fastq.gz",221,184
"m64141e_241218_163908.hifi_reads.F1--R11.hifi_reads.fastq.gz",1257,1051
"m64141e_241218_163908.hifi_reads.F1--R12.hifi_reads.fastq.gz",1,0
"m64141e_241218_163908.hifi_reads.F1--R13.hifi_reads.fastq.gz",2,1
"m64141e_241218_163908.hifi_reads.F1--R15.hifi_reads.fastq.gz",787,672
"m64141e_241218_163908.hifi_reads.F1--R2.hifi_reads.fastq.gz",473,400
"m64141e_241218_163908.hifi_reads.F1--R5.hifi_reads.fastq.gz",741,631
"m64141e_241218_163908.hifi_reads.F1--R6.hifi_reads.fastq.gz",7,3
"m64141e_241218_163908.hifi_reads.F1--R7.hifi_reads.fastq.gz",124,107
"m64141e_241218_163908.hifi_reads.F1--R9.hifi_reads.fastq.gz",19,16
"m64141e_241218_163908.hifi_reads.F2--R1.hifi_reads.fastq.gz",2211,1755
"m64141e_241218_163908.hifi_reads.F2--R11.hifi_reads.fastq.gz",362,299
"m64141e_241218_163908.hifi_reads.F2--R12.hifi_reads.fastq.gz",5,1
"m64141e_241218_163908.hifi_reads.F2--R13.hifi_reads.fastq.gz",4,4
"m64141e_241218_163908.hifi_reads.F2--R15.hifi_reads.fastq.gz",6,2
"m64141e_241218_163908.hifi_reads.F2--R2.hifi_reads.fastq.gz",611,517
"m64141e_241218_163908.hifi_reads.F2--R5.hifi_reads.fastq.gz",278,255
"m64141e_241218_163908.hifi_reads.F2--R6.hifi_reads.fastq.gz",156,137
"m64141e_241218_163908.hifi_reads.F2--R9.hifi_reads.fastq.gz",1755,1470
"m64141e_241218_163908.hifi_reads.F3--R1.hifi_reads.fastq.gz",1213,1017
"m64141e_241218_163908.hifi_reads.F3--R11.hifi_reads.fastq.gz",93,74
"m64141e_241218_163908.hifi_reads.F3--R12.hifi_reads.fastq.gz",583,499
"m64141e_241218_163908.hifi_reads.F3--R13.hifi_reads.fastq.gz",2,0
"m64141e_241218_163908.hifi_reads.F3--R15.hifi_reads.fastq.gz",665,573
"m64141e_241218_163908.hifi_reads.F3--R2.hifi_reads.fastq.gz",535,461
"m64141e_241218_163908.hifi_reads.F3--R3.hifi_reads.fastq.gz",525,466
