"","nobimeras"
"m64141e_241218_163908.hifi_reads.F1--R1.hifi_reads.fastq.gz",178
"m64141e_241218_163908.hifi_reads.F1--R11.hifi_reads.fastq.gz",1051
"m64141e_241218_163908.hifi_reads.F1--R13.hifi_reads.fastq.gz",1
"m64141e_241218_163908.hifi_reads.F1--R15.hifi_reads.fastq.gz",597
"m64141e_241218_163908.hifi_reads.F1--R2.hifi_reads.fastq.gz",397
"m64141e_241218_163908.hifi_reads.F1--R5.hifi_reads.fastq.gz",626
"m64141e_241218_163908.hifi_reads.F1--R6.hifi_reads.fastq.gz",2
"m64141e_241218_163908.hifi_reads.F1--R7.hifi_reads.fastq.gz",107
"m64141e_241218_163908.hifi_reads.F1--R9.hifi_reads.fastq.gz",15
"m64141e_241218_163908.hifi_reads.F2--R1.hifi_reads.fastq.gz",1749
"m64141e_241218_163908.hifi_reads.F2--R11.hifi_reads.fastq.gz",290
"m64141e_241218_163908.hifi_reads.F2--R12.hifi_reads.fastq.gz",1
"m64141e_241218_163908.hifi_reads.F2--R13.hifi_reads.fastq.gz",1
"m64141e_241218_163908.hifi_reads.F2--R15.hifi_reads.fastq.gz",1
"m64141e_241218_163908.hifi_reads.F2--R2.hifi_reads.fastq.gz",514
"m64141e_241218_163908.hifi_reads.F2--R5.hifi_reads.fastq.gz",252
"m64141e_241218_163908.hifi_reads.F2--R6.hifi_reads.fastq.gz",135
"m64141e_241218_163908.hifi_reads.F2--R9.hifi_reads.fastq.gz",1247
"m64141e_241218_163908.hifi_reads.F3--R1.hifi_reads.fastq.gz",994
"m64141e_241218_163908.hifi_reads.F3--R11.hifi_reads.fastq.gz",68
"m64141e_241218_163908.hifi_reads.F3--R12.hifi_reads.fastq.gz",499
"m64141e_241218_163908.hifi_reads.F3--R15.hifi_reads.fastq.gz",572
"m64141e_241218_163908.hifi_reads.F3--R2.hifi_reads.fastq.gz",460
"m64141e_241218_163908.hifi_reads.F3--R3.hifi_reads.fastq.gz",412
"m64141e_241218_163908.hifi_reads.F3--R4.hifi_reads.fastq.gz",46
"m64141e_241218_163908.hifi_reads.F3--R5.hifi_reads.fastq.gz",2
"m64141e_241218_163908.hifi_reads.F3--R6.hifi_reads.fastq.gz",1
"m64141e_241218_163908.hifi_reads.F3--R9.hifi_reads.fastq.gz",999
"m64141e_241218_163908.hifi_reads.F4--R1.hifi_reads.fastq.gz",2097
"m64141e_241218_163908.hifi_reads.F4--R11.hifi_reads.fastq.gz",1055
"m64141e_241218_163908.hifi_reads.F4--R12.hifi_reads.fastq.gz",2
"m64141e_241218_163908.hifi_reads.F4--R3.hifi_reads.fastq.gz",1
"m64141e_241218_163908.hifi_reads.F4--R5.hifi_reads.fastq.gz",2
"m64141e_241218_163908.hifi_reads.F4--R6.hifi_reads.fastq.gz",1231
"m64141e_241218_163908.hifi_reads.F4--R7.hifi_reads.fastq.gz",2
"m64141e_241218_163908.hifi_reads.F4--R9.hifi_reads.fastq.gz",633
"m64141e_241218_163908.hifi_reads.F5--R1.hifi_reads.fastq.gz",1
"m64141e_241218_163908.hifi_reads.F5--R10.hifi_reads.fastq.gz",586
"m64141e_241218_163908.hifi_reads.F5--R11.hifi_reads.fastq.gz",496
"m64141e_241218_163908.hifi_reads.F5--R12.hifi_reads.fastq.gz",1612
"m64141e_241218_163908.hifi_reads.F5--R13.hifi_reads.fastq.gz",138
"m64141e_241218_163908.hifi_reads.F5--R15.hifi_reads.fastq.gz",905
"m64141e_241218_163908.hifi_reads.F5--R2.hifi_reads.fastq.gz",913
"m64141e_241218_163908.hifi_reads.F5--R3.hifi_reads.fastq.gz",1
"m64141e_241218_163908.hifi_reads.F5--R5.hifi_reads.fastq.gz",15
"m64141e_241218_163908.hifi_reads.F5--R6.hifi_reads.fastq.gz",547
"m64141e_241218_163908.hifi_reads.F5--R7.hifi_reads.fastq.gz",81
"m64141e_241218_163908.hifi_reads.F5--R9.hifi_reads.fastq.gz",1
"m64141e_241218_163908.hifi_reads.F6--R1.hifi_reads.fastq.gz",121
"m64141e_241218_163908.hifi_reads.F6--R12.hifi_reads.fastq.gz",1
"m64141e_241218_163908.hifi_reads.F6--R13.hifi_reads.fastq.gz",757
"m64141e_241218_163908.hifi_reads.F6--R15.hifi_reads.fastq.gz",1
"m64141e_241218_163908.hifi_reads.F6--R2.hifi_reads.fastq.gz",1010
"m64141e_241218_163908.hifi_reads.F6--R6.hifi_reads.fastq.gz",1110
"m64141e_241218_163908.hifi_reads.F6--R9.hifi_reads.fastq.gz",999
"m64141e_241218_163908.hifi_reads.F7--R1.hifi_reads.fastq.gz",282
"m64141e_241218_163908.hifi_reads.F7--R11.hifi_reads.fastq.gz",1288
"m64141e_241218_163908.hifi_reads.F7--R13.hifi_reads.fastq.gz",2
"m64141e_241218_163908.hifi_reads.F7--R15.hifi_reads.fastq.gz",1
"m64141e_241218_163908.hifi_reads.F7--R2.hifi_reads.fastq.gz",15
