"","reads.in","reads.out"
"m64141e_241218_163908.hifi_reads.F1--R1.hifi_reads.fastq.gz",249,221
"m64141e_241218_163908.hifi_reads.F1--R11.hifi_reads.fastq.gz",1381,1257
"m64141e_241218_163908.hifi_reads.F1--R12.hifi_reads.fastq.gz",1,1
"m64141e_241218_163908.hifi_reads.F1--R13.hifi_reads.fastq.gz",2,2
"m64141e_241218_163908.hifi_reads.F1--R15.hifi_reads.fastq.gz",852,787
"m64141e_241218_163908.hifi_reads.F1--R2.hifi_reads.fastq.gz",515,473
"m64141e_241218_163908.hifi_reads.F1--R5.hifi_reads.fastq.gz",821,741
"m64141e_241218_163908.hifi_reads.F1--R6.hifi_reads.fastq.gz",7,7
"m64141e_241218_163908.hifi_reads.F1--R7.hifi_reads.fastq.gz",139,124
"m64141e_241218_163908.hifi_reads.F1--R9.hifi_reads.fastq.gz",19,19
"m64141e_241218_163908.hifi_reads.F2--R1.hifi_reads.fastq.gz",2447,2211
"m64141e_241218_163908.hifi_reads.F2--R11.hifi_reads.fastq.gz",388,362
"m64141e_241218_163908.hifi_reads.F2--R12.hifi_reads.fastq.gz",5,5
"m64141e_241218_163908.hifi_reads.F2--R13.hifi_reads.fastq.gz",9,4
"m64141e_241218_163908.hifi_reads.F2--R15.hifi_reads.fastq.gz",6,6
"m64141e_241218_163908.hifi_reads.F2--R2.hifi_reads.fastq.gz",661,611
"m64141e_241218_163908.hifi_reads.F2--R3.hifi_reads.fastq.gz",1,0
"m64141e_241218_163908.hifi_reads.F2--R5.hifi_reads.fastq.gz",300,278
"m64141e_241218_163908.hifi_reads.F2--R6.hifi_reads.fastq.gz",181,156
"m64141e_241218_163908.hifi_reads.F2--R7.hifi_reads.fastq.gz",1,0
"m64141e_241218_163908.hifi_reads.F2--R9.hifi_reads.fastq.gz",1882,1755
"m64141e_241218_163908.hifi_reads.F3--R1.hifi_reads.fastq.gz",1315,1213
"m64141e_241218_163908.hifi_reads.F3--R11.hifi_reads.fastq.gz",100,93
"m64141e_241218_163908.hifi_reads.F3--R12.hifi_reads.fastq.gz",615,583
"m64141e_241218_163908.hifi_reads.F3--R13.hifi_reads.fastq.gz",2,2
"m64141e_241218_163908.hifi_reads.F3--R15.hifi_reads.fastq.gz",711,665
"m64141e_241218_163908.hifi_reads.F3--R2.hifi_reads.fastq.gz",577,535
"m64141e_241218_163908.hifi_reads.F3--R3.hifi_reads.fastq.gz",559,525
"m64141e_241218_163908.hifi_reads.F3--R4.hifi_reads.fastq.gz",64,60
"m64141e_241218_163908.hifi_reads.F3--R5.hifi_reads.fastq.gz",7,6
"m64141e_241218_163908.hifi_reads.F3--R6.hifi_reads.fastq.gz",2,2
"m64141e_241218_163908.hifi_reads.F3--R9.hifi_reads.fastq.gz",1268,1181
"m64141e_241218_163908.hifi_reads.F4--R1.hifi_reads.fastq.gz",4699,4287
"m64141e_241218_163908.hifi_reads.F4--R11.hifi_reads.fastq.gz",1424,1280
"m64141e_241218_163908.hifi_reads.F4--R12.hifi_reads.fastq.gz",12,12
"m64141e_241218_163908.hifi_reads.F4--R13.hifi_reads.fastq.gz",2,2
"m64141e_241218_163908.hifi_reads.F4--R2.hifi_reads.fastq.gz",2,2
"m64141e_241218_163908.hifi_reads.F4--R3.hifi_reads.fastq.gz",3,3
"m64141e_241218_163908.hifi_reads.F4--R5.hifi_reads.fastq.gz",7,5
"m64141e_241218_163908.hifi_reads.F4--R6.hifi_reads.fastq.gz",1854,1694
"m64141e_241218_163908.hifi_reads.F4--R7.hifi_reads.fastq.gz",2,2
"m64141e_241218_163908.hifi_reads.F4--R9.hifi_reads.fastq.gz",847,789
"m64141e_241218_163908.hifi_reads.F5--R1.hifi_reads.fastq.gz",6,6
"m64141e_241218_163908.hifi_reads.F5--R10.hifi_reads.fastq.gz",1004,911
"m64141e_241218_163908.hifi_reads.F5--R11.hifi_reads.fastq.gz",705,635
"m64141e_241218_163908.hifi_reads.F5--R12.hifi_reads.fastq.gz",2288,2066
"m64141e_241218_163908.hifi_reads.F5--R13.hifi_reads.fastq.gz",175,156
"m64141e_241218_163908.hifi_reads.F5--R15.hifi_reads.fastq.gz",1265,1179
"m64141e_241218_163908.hifi_reads.F5--R2.hifi_reads.fastq.gz",1152,1061
"m64141e_241218_163908.hifi_reads.F5--R3.hifi_reads.fastq.gz",2,2
"m64141e_241218_163908.hifi_reads.F5--R5.hifi_reads.fastq.gz",53,25
"m64141e_241218_163908.hifi_reads.F5--R6.hifi_reads.fastq.gz",727,656
"m64141e_241218_163908.hifi_reads.F5--R7.hifi_reads.fastq.gz",104,91
"m64141e_241218_163908.hifi_reads.F5--R9.hifi_reads.fastq.gz",8,8
"m64141e_241218_163908.hifi_reads.F6--R1.hifi_reads.fastq.gz",173,162
"m64141e_241218_163908.hifi_reads.F6--R12.hifi_reads.fastq.gz",5,5
"m64141e_241218_163908.hifi_reads.F6--R13.hifi_reads.fastq.gz",975,894
"m64141e_241218_163908.hifi_reads.F6--R15.hifi_reads.fastq.gz",4,4
"m64141e_241218_163908.hifi_reads.F6--R2.hifi_reads.fastq.gz",1314,1200
"m64141e_241218_163908.hifi_reads.F6--R3.hifi_reads.fastq.gz",1,0
"m64141e_241218_163908.hifi_reads.F6--R6.hifi_reads.fastq.gz",1495,1366
"m64141e_241218_163908.hifi_reads.F6--R7.hifi_reads.fastq.gz",1,0
"m64141e_241218_163908.hifi_reads.F6--R9.hifi_reads.fastq.gz",1348,1225
"m64141e_241218_163908.hifi_reads.F7--R1.hifi_reads.fastq.gz",366,333
"m64141e_241218_163908.hifi_reads.F7--R11.hifi_reads.fastq.gz",1700,1558
"m64141e_241218_163908.hifi_reads.F7--R12.hifi_reads.fastq.gz",6,5
"m64141e_241218_163908.hifi_reads.F7--R13.hifi_reads.fastq.gz",2,2
"m64141e_241218_163908.hifi_reads.F7--R15.hifi_reads.fastq.gz",4,4
"m64141e_241218_163908.hifi_reads.F7--R2.hifi_reads.fastq.gz",20,20
"m64141e_241218_163908.hifi_reads.F7--R3.hifi_reads.fastq.gz",1,0
"m64141e_241218_163908.hifi_reads.F7--R5.hifi_reads.fastq.gz",779,708
"m64141e_241218_163908.hifi_reads.F7--R6.hifi_reads.fastq.gz",1859,1685
