original_id	new_id	unique_ID	culture_original	culture_notes	culture	genus_original	species_original	source_code	genus	species	source_original	source	platform	sequencing_effort	successfull	read_count	notes	Isolate present in Nanopore and Pacbio?	Corresponding code on Nanopore tables
Sample_5	KU_Gigaspora_0_margarita	5	NC114B		NC114B	Gigaspora	margarita	KU	Gigaspora	margarita	invam	INVAM	Pacbio_Sequel_II	KU-FGCZ	Yes	496		Y	NC114A
Sample_6	#N/A	6	HA692B		HA692B	Funneliformis	caledonius	KU	Funneliformis	caledonius	invam	INVAM	Pacbio_Sequel_II	KU-FGCZ	No	0		Y	HA692_B-25
Sample_7	KU_Rhizophagus_0_sinuosus	7	MD126		MD126	Rhizophagus	sinuosus	KU	Rhizophagus	sinuosus	invam	INVAM	Pacbio_Sequel_II	KU-FGCZ	Yes	290		Y	MD126
Sample_8	KU_Ambispora_0_gerdemannii	8	MT106		MT106	Ambispora	gerdemannii	KU	Ambispora	gerdemannii	invam	INVAM	Pacbio_Sequel_II	KU-FGCZ	Yes	1051		Y	MT106
Sample_9	KU_Gigaspora_0_albida	9	BR235		BR235	Gigaspora	albida	KU	Gigaspora	albida	invam	INVAM	Pacbio_Sequel_II	KU-FGCZ	Yes	1288		N	
Sample_10	KU_Racocetra_0_gregaria	10	NC210		NC210	Racocetra	gregaria	KU	Racocetra	gregaria	invam	INVAM	Pacbio_Sequel_II	KU-FGCZ	Low read count	68		Y	NC210
Sample_11	KU_Ambispora_0_leptoticha	11	MX982A		MX982A	Ambispora	leptoticha	KU	Ambispora	leptoticha	invam	INVAM	Pacbio_Sequel_II	KU-FGCZ	Yes	1055		Y	MX982A
Sample_12	KU_Acaulospora_0_sp.	12	TU102C		TU102C	Acaulospora	sp.	KU	Acaulospora	sp.	invam	INVAM	Pacbio_Sequel_II	KU-FGCZ	Marginal	1	1 original total sequences, but lost with a 3000bp filter cuttoff	N	
Sample_13	KU_Acaulospora_0_pauliniae	13	AU103A		AU103A	Acaulospora	pauliniae	KU	Acaulospora	paulinae	invam	INVAM	Pacbio_Sequel_II	KU-FGCZ	Marginal	1	1 original total sequences, but lost with a 3000bp filter cuttoff	Y	AU103A
Sample_14	KU_Diversispora_0_sp.	14	NB103A		NB103A	Diversispora	sp.	KU	Diversispora	trimurales?	invam	INVAM	Pacbio_Sequel_II	KU-FGCZ	Yes	530	trimurales?	N	
Sample_15	KU_Funneliformis_0_coronatum	15	MR101		MR101	Funneliformis	coronatum	KU	Funneliformis	coronatus	invam	INVAM	Pacbio_Sequel_II	KU-FGCZ	Yes	1749		N	
Sample_16	KU_Acaulospora_0_tuberculata	16	VZ103E		VZ103E	Acaulospora	tuberculata	KU	Acaulospora	tuberculata	invam	INVAM	Pacbio_Sequel_II	KU-FGCZ	Yes	178		Y	VZ103E
Sample_17	KU_Diversispora_0_tortuosum	17	JA306A		JA306A	Diversispora	tortuosum	KU	Diversispora	tortuosa	invam	INVAM	Pacbio_Sequel_II	KU-FGCZ	Yes	282		Y	JA306A
Sample_18	KU_Entrophospora_0_infrequens	18	CA203		CA203	Entrophospora	infrequens	KU	Entrophospora	infrequens	invam	INVAM	Pacbio_Sequel_II	KU-FGCZ	Yes	994		Y	CA203
Sample_19	KU_Rhizophagus_0_manihotis	19	FL879N		FL879N	Rhizophagus	manihotis	KU	Rhizophagus	clarus	invam	INVAM	Pacbio_Sequel_II	KU-FGCZ	Yes	2097		Y	FL879N
Sample_20	KU_Gigaspora_0_rosea	20	FL105-11		FL105_11	Gigaspora	rosea	KU	Gigaspora	rosea	invam	INVAM	Pacbio_Sequel_II	KU-FGCZ	Yes	121		N	
Sample_21	KU_Acaulospora_0_elegans	21	FL736A		FL736A	Acaulospora	elegans	KU	Acaulospora	elegans	invam	INVAM	Pacbio_Sequel_II	KU-FGCZ	Low read count	15		Y	FL736A
Sample_22	KU_Diversispora_0_eburnea	22	KE124		KE124	Diversispora	eburnea	KU	Diversispora	eburnea	invam	INVAM	Pacbio_Sequel_II	KU-FGCZ	Low read count	3		N	
