"ASV"	"Sample_16"	"Sample_8"	"Sample_48"	"Sample_80"	"Sample_40"	"Sample_24"	"Sample_32"	"Sample_64"	"Sample_86"	"Sample_15"	"Sample_7"	"Sample_71"	"Sample_47"	"Sample_79"	"Sample_39"	"Sample_23"	"Sample_31"	"Sample_85"	"Sample_18"	"Sample_10"	"Sample_74"	"Sample_82"	"Sample_42"	"Sample_58"	"Sample_96"	"Sample_26"	"Sample_34"	"Sample_88"	"Sample_19"	"Sample_11"	"Sample_75"	"Sample_59"	"Sample_27"	"Sample_35"	"Sample_67"	"Sample_89"	"Sample_13"	"Sample_117"	"Sample_5"	"Sample_69"	"Sample_45"	"Sample_77"	"Sample_37"	"Sample_53"	"Sample_21"	"Sample_29"	"Sample_61"	"Sample_83"	"Sample_20"	"Sample_76"	"Sample_52"	"Sample_12"	"Sample_44"	"Sample_36"	"Sample_90"	"Sample_17"	"Sample_9"	"Sample_49"	"Sample_81"	"Sample_41"	"Sample_25"	"Sample_33"	"Sample_14"	"Sample_118"	"Sample_70"	"Sample_46"	"Sample_78"	"Sample_38"	"Sample_22"	"Sample_30"	"Sample_62"	"Sample_84"	"A_fennica_Af2_1A_cut"	"A_koskei_Sc705_5P_cut"	"A_koskei_WV658_1H_cut"	"A_koskei_WV685_1F_cut"	"A_trappei_CU132_5P_cut"	"Ac_koskei_WV685_1A_cut"	"Ac_koskei_WV685_1B_cut"	"Ac_koskei_WV685_1C_cut"	"Ac_morrowiae_BR983A_1A_cut"	"Ac_morrowiae_BR983A_1B_cut"	"Ac_morrowiae_BR983A_5A_cut"	"Am_gerdemannii_ON205A_1B_cut"	"Am_gerdemannii_ON205A_1B_SV_cut"	"Am_gerdemannii_ON205A_1C_SV_cut"	"C_corymbiforme_Blask5_1A_cut"	"C_corymbiforme_Blask5_1B_cut"	"C_corymbiforme_Blask5_1C_cut"	"C_luteum_SA101_5S_cut"	"D_heterogama_BEG35_1M_cut"	"D_heterogama_BEG35_1N_cut"	"D_heterogama_BEG35_1O_cut"	"De_heterogama_BR154_1A_cut"	"De_heterogama_BR154_1B_cut"	"De_heterogama_BR154_1C_cut"	"De_heterogama_IL203A_1A_cut"	"De_heterogama_IL203A_1B_cut"	"De_heterogama_IL203A_1C_cut"	"Di_epigaea_KS210_1A_cut"	"Di_epigaea_KS210_1C_cut"	"Di_epigaea_KS210_5A_cut"	"E_infrequens_Blask3_1F_cut"	"F_mosseae_BEG161_10A_cut"	"F_mosseae_BEG161_1A_cut"	"F_mosseae_BEG161_5B_cut"	"F_mosseae_BEG95_5A_cut"	"Fu_mosseae_BEG12_1A_cut"	"Fu_mosseae_BEG12_1B_cut"	"Fu_mosseae_BEG12_1C_cut"	"G_rosea_BEG9_1Na_.cut"	"G_rosea_BEG9_1Nb_cut"	"Gi_rosea_BR155B_1A_cut"	"Gi_rosea_BR155B_1B_cut"	"Gi_rosea_BR155B_1C_cut"	"Gi_rosea_KS885_1A_cut"	"Gi_rosea_KS885_1B_cut"	"Gi_rosea_KS885_1C_cut"	"P_laccatum_AH960_55_cut"	"P_occultum_CU126_10A_cut"	"P_occultum_CU126_10B_cut"	"P_occultum_CU126_5B_cut"	"R_irregularis_PH5_1A_cut"	"Ra_gregaria_BEG243_1A_cut"	"Ra_gregaria_BEG243_1B_cut"	"Ra_gregaria_BEG243_1C_cut"	"Racocetra_sp_179_Blask4_10A_cut"	"S_calospora_IL209_1A_cut"	"S_calospora_IL209_1C_cut"	"S_cerrevisiae_Yeast_cut"	"S_viscosum_AH179_15_1A_cut"	"S_viscosum_AH179_15_1B_cut"	"S_viscosum_AH179_15_1C_cut"	"A_leptoticha_CR312_1A_cut"	"A_leptoticha_CR312_1B_cut"	"A_leptoticha_CR312_1C_cut"	"Ac_laevis_BEG13_1E_cut"	"Ac_laevis_BEG13_5_2_cut"	"Ac_laevis_BEG13_5_cut"	"Ac_Laevis_BEG242_1D_cut"	"Ac_Laevis_BEG242_1F_cut"	"Ac_Laevis_BEG242_1G_cut"	"Ac_Laevis_BEG26_1_3_cut"	"Ac_Laevis_BEG26_1C_cut"	"Ac_Laevis_BEG26_1D_cut"	"Am_fennica_fromAtt555_36_10g_cut"	"Am_gerdemannii_MT106_1C_cut"	"Am_gerdemannii_MT106_5A_cut"	"Am_gerdemannii_MT106_5B_cut"	"Cl_claroideum_BEG23fromKrc_5B_cut"	"Cl_etunicatum_BEG247_1A_cut"	"Cl_etunicatum_BEG247_1C_cut"	"Cl_etunicatum_BEG247_5B_cut"	"Cl_Etunicatum_IN101_10B_cut"	"Cl_Etunicatum_IN101_1A_cut"	"Cl_Etunicatum_IN101_1B_cut"	"Cl_Luteum_CR308_1A_cut"	"Cl_Luteum_CR308_1C_cut"	"Cl_Luteum_CR308_5A_cut"	"Cl_luteum_SA101_10A_cut"	"De_heterogama_BEG35_10_cut"	"De_heterogama_BEG35_5_cut"	"Di_spurca_W6227_10_cut"	"Di_spurca_W6227_5C4_cut"	"Di_spurca_W6227_5C5_cut"	"En_infrequens_Blaszk3_10A_cut"	"Gi_rosea_BEG9_10_cut"	"Gi_rosea_BEG9_5C1_cut"	"Ka_bistrata_Blaszk7_10B_cut"	"Pa_brasilianum_BEG239_5A_cut"	"Pa_brasilianum_BR105_1C_cut"	"Pa_Brasilianum_FL710_1C_cut"	"Pa_Brasilianum_FL710_5A_cut"	"Pa_occultum_CU126_1B_cut"	"Pa_occultum_CU126_1C_cut"	"Pa_occultum_CU126_5A_cut"	"Pa_scintillans_Blaszk6_5B_cut"	"Rh_Irregularis_Chomutov_10B_cut"	"Rh_Irregularis_Chomutov_1A_cut"	"Rh_irregularis_PH5_1C_cut"	"Sac_cerevisiae_cut"	"Sc_calospora_AU212B_10B_cut"	"Sc_calospora_AU212B_5A_cut"	"Sc_calospora_BEG245_10A_cut"	"Sc_calospora_BEG245_1B_cut"	"Sc_calospora_BEG245_5A_cut"	"SccalosporaAU212B1C_cut"	"Se_deserticola_NC302A_1A_cut"	"Se_deserticola_NC302A_1C_cut"	"Se_deserticola_NC302A_5A_cut"
"Dentiscutata_heterogama_FL728_KU_ASV1168"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	456	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ambispora_leptoticha_MT106_KU_ASV1119"	0	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Funneliformis_monosporus_WY107_KU_ASV1006"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Funneliformis_monosporus_WY107_KU_ASV1231"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Rhizophagus_dimorphicus_FL912N_KU_ASV1393"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Gigaspora_albida_BR235_KU_ASV1298"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Funneliformis_mosseae_NC302C_KU_ASV1269"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Innospora_majewski_JA205B_KU_ASV1326"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Dentiscutata_erythropa_RI275_31_KU_ASV1156"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Dentiscutata_heterogama_FL728_KU_ASV1169"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	440	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
