"","reads.in","reads.out"
"A_fennica_Af2_1A_cut.fastq.gz",2320,558
"A_koskei_Sc705_5P_cut.fastq.gz",2473,567
"A_koskei_WV658_1H_cut.fastq.gz",1666,467
"A_koskei_WV685_1F_cut.fastq.gz",3590,1101
"A_trappei_CU132_5P_cut.fastq.gz",3320,350
"Ac_koskei_WV685_1A_cut.fastq.gz",4359,1515
"Ac_koskei_WV685_1B_cut.fastq.gz",2034,446
"Ac_koskei_WV685_1C_cut.fastq.gz",2752,603
"Ac_morrowiae_BR983A_1A_cut.fastq.gz",10901,3356
"Ac_morrowiae_BR983A_1B_cut.fastq.gz",1535,457
"Ac_morrowiae_BR983A_5A_cut.fastq.gz",2959,916
"Am_gerdemannii_ON205A_1B_cut.fastq.gz",1363,507
"Am_gerdemannii_ON205A_1B_SV_cut.fastq.gz",682,180
"Am_gerdemannii_ON205A_1C_SV_cut.fastq.gz",2067,438
"C_corymbiforme_Blask5_1A_cut.fastq.gz",2937,875
"C_corymbiforme_Blask5_1B_cut.fastq.gz",2958,144
"C_corymbiforme_Blask5_1C_cut.fastq.gz",2999,357
"C_luteum_SA101_5S_cut.fastq.gz",954,101
"D_heterogama_BEG35_1M_cut.fastq.gz",3884,502
"D_heterogama_BEG35_1N_cut.fastq.gz",3024,246
"D_heterogama_BEG35_1O_cut.fastq.gz",1539,135
"De_heterogama_BR154_1A_cut.fastq.gz",4444,898
"De_heterogama_BR154_1B_cut.fastq.gz",5883,1277
"De_heterogama_BR154_1C_cut.fastq.gz",2840,604
"De_heterogama_IL203A_1A_cut.fastq.gz",6930,1667
"De_heterogama_IL203A_1B_cut.fastq.gz",6930,1667
"De_heterogama_IL203A_1C_cut.fastq.gz",6826,1575
"Di_epigaea_KS210_1A_cut.fastq.gz",3565,578
"Di_epigaea_KS210_1C_cut.fastq.gz",2470,798
"Di_epigaea_KS210_5A_cut.fastq.gz",1525,248
"E_infrequens_Blask3_1F_cut.fastq.gz",129,1
"F_mosseae_BEG161_10A_cut.fastq.gz",2583,188
"F_mosseae_BEG161_1A_cut.fastq.gz",3061,424
"F_mosseae_BEG161_5B_cut.fastq.gz",660,45
"F_mosseae_BEG95_5A_cut.fastq.gz",2725,192
"Fu_mosseae_BEG12_1A_cut.fastq.gz",2340,471
"Fu_mosseae_BEG12_1B_cut.fastq.gz",1414,243
"Fu_mosseae_BEG12_1C_cut.fastq.gz",3003,334
"G_rosea_BEG9_1Na_ cut.fastq.gz",3293,296
"G_rosea_BEG9_1Nb_cut.fastq.gz",4152,342
"Gi_rosea_BR155B_1A_cut.fastq.gz",4938,774
"Gi_rosea_BR155B_1B_cut.fastq.gz",5306,967
"Gi_rosea_BR155B_1C_cut.fastq.gz",8886,1534
"Gi_rosea_KS885_1A_cut.fastq.gz",4050,814
"Gi_rosea_KS885_1B_cut.fastq.gz",7348,1657
"Gi_rosea_KS885_1C_cut.fastq.gz",5924,1074
"P_laccatum_AH960_55_cut.fastq.gz",4985,1473
"P_occultum_CU126_10A_cut.fastq.gz",2331,196
"P_occultum_CU126_10B_cut.fastq.gz",3579,553
"P_occultum_CU126_5B_cut.fastq.gz",3240,399
"R_irregularis_PH5_1A_cut.fastq.gz",4865,1481
"Ra_gregaria_BEG243_1A_cut.fastq.gz",5648,1505
"Ra_gregaria_BEG243_1B_cut.fastq.gz",5449,1483
"Ra_gregaria_BEG243_1C_cut.fastq.gz",2989,411
"Racocetra_sp_179_Blask4_10A_cut.fastq.gz",4195,944
"S_calospora_IL209_1A_cut.fastq.gz",1713,134
"S_calospora_IL209_1C_cut.fastq.gz",3582,424
"S_cerrevisiae_Yeast_cut.fastq.gz",1765,132
"S_viscosum_AH179_15_1A_cut.fastq.gz",4688,1511
"S_viscosum_AH179_15_1B_cut.fastq.gz",1888,455
"S_viscosum_AH179_15_1C_cut.fastq.gz",3386,1149
