"","reads.in","reads.out"
"A_leptoticha_CR312_1A_cut.fastq.gz",808,11
"A_leptoticha_CR312_1B_cut.fastq.gz",963,71
"A_leptoticha_CR312_1C_cut.fastq.gz",992,32
"Ac_koskei_WV685_1A_cut.fastq.gz",622,63
"Ac_koskei_WV685_1B_cut.fastq.gz",179,9
"Ac_koskei_WV685_1C_cut.fastq.gz",375,19
"Ac_laevis_BEG13_1E_cut.fastq.gz",301,4
"Ac_laevis_BEG13_5_2_cut.fastq.gz",470,9
"Ac_laevis_BEG13_5_cut.fastq.gz",436,7
"Ac_Laevis_BEG242_1D_cut.fastq.gz",760,26
"Ac_Laevis_BEG242_1F_cut.fastq.gz",484,9
"Ac_Laevis_BEG242_1G_cut.fastq.gz",435,12
"Ac_Laevis_BEG26_1_3_cut.fastq.gz",1345,76
"Ac_Laevis_BEG26_1C_cut.fastq.gz",1068,29
"Ac_Laevis_BEG26_1D_cut.fastq.gz",847,55
"Ac_morrowiae_BR983A_1A_cut.fastq.gz",523,53
"Ac_morrowiae_BR983A_1B_cut.fastq.gz",1034,104
"Ac_morrowiae_BR983A_5A_cut.fastq.gz",1003,68
"Am_fennica_fromAtt555_36_10g_cut.fastq.gz",357,5
"Am_gerdemannii_MT106_1C_cut.fastq.gz",221,6
"Am_gerdemannii_MT106_5A_cut.fastq.gz",471,11
"Am_gerdemannii_MT106_5B_cut.fastq.gz",344,5
"Am_gerdemannii_ON205A_1B_cut.fastq.gz",428,65
"Am_gerdemannii_ON205A_1B_SV_cut.fastq.gz",805,36
"Am_gerdemannii_ON205A_1C_SV_cut.fastq.gz",498,22
"Cl_claroideum_BEG23fromKrc_5B_cut.fastq.gz",241,6
"Cl_etunicatum_BEG247_1A_cut.fastq.gz",406,18
"Cl_etunicatum_BEG247_1C_cut.fastq.gz",547,32
"Cl_etunicatum_BEG247_5B_cut.fastq.gz",402,18
"Cl_Etunicatum_IN101_10B_cut.fastq.gz",15,2
"Cl_Etunicatum_IN101_1A_cut.fastq.gz",627,71
"Cl_Etunicatum_IN101_1B_cut.fastq.gz",1159,115
"Cl_Luteum_CR308_1A_cut.fastq.gz",2081,212
"Cl_Luteum_CR308_1C_cut.fastq.gz",1329,164
"Cl_Luteum_CR308_5A_cut.fastq.gz",566,26
"Cl_luteum_SA101_10A_cut.fastq.gz",397,22
"De_heterogama_BEG35_10_cut.fastq.gz",408,3
"De_heterogama_BEG35_5_cut.fastq.gz",377,3
"De_heterogama_BR154_1A_cut.fastq.gz",1172,49
"De_heterogama_BR154_1B_cut.fastq.gz",1257,54
"De_heterogama_BR154_1C_cut.fastq.gz",957,49
"De_heterogama_IL203A_1A_cut.fastq.gz",1401,75
"De_heterogama_IL203A_1B_cut.fastq.gz",719,30
"De_heterogama_IL203A_1C_cut.fastq.gz",1504,81
"Di_epigaea_KS210_1A_cut.fastq.gz",280,15
"Di_epigaea_KS210_1C_cut.fastq.gz",496,38
"Di_epigaea_KS210_5A_cut.fastq.gz",419,7
"Di_spurca_W6227_10_cut.fastq.gz",419,1
"Di_spurca_W6227_5C4_cut.fastq.gz",356,8
"Di_spurca_W6227_5C5_cut.fastq.gz",481,4
"En_infrequens_Blaszk3_10A_cut.fastq.gz",525,23
"Fu_mosseae_BEG12_1A_cut.fastq.gz",532,24
"Fu_mosseae_BEG12_1B_cut.fastq.gz",861,25
"Fu_mosseae_BEG12_1C_cut.fastq.gz",552,6
"Gi_rosea_BEG9_10_cut.fastq.gz",225,1
"Gi_rosea_BEG9_5C1_cut.fastq.gz",294,3
"Gi_rosea_BR155B_1A_cut.fastq.gz",800,22
"Gi_rosea_BR155B_1B_cut.fastq.gz",1015,27
"Gi_rosea_BR155B_1C_cut.fastq.gz",920,22
"Gi_rosea_KS885_1A_cut.fastq.gz",641,31
"Gi_rosea_KS885_1B_cut.fastq.gz",827,39
"Gi_rosea_KS885_1C_cut.fastq.gz",1145,42
"Ka_bistrata_Blaszk7_10B_cut.fastq.gz",645,38
"Pa_brasilianum_BEG239_5A_cut.fastq.gz",362,17
"Pa_brasilianum_BR105_1C_cut.fastq.gz",594,37
"Pa_Brasilianum_FL710_1C_cut.fastq.gz",2236,240
"Pa_Brasilianum_FL710_5A_cut.fastq.gz",1708,260
"Pa_occultum_CU126_1B_cut.fastq.gz",411,2
"Pa_occultum_CU126_1C_cut.fastq.gz",459,4
"Pa_occultum_CU126_5A_cut.fastq.gz",446,4
"Pa_scintillans_Blaszk6_5B_cut.fastq.gz",519,33
"Ra_gregaria_BEG243_1A_cut.fastq.gz",713,46
"Ra_gregaria_BEG243_1B_cut.fastq.gz",704,46
"Ra_gregaria_BEG243_1C_cut.fastq.gz",228,15
"Rh_Irregularis_Chomutov_10B_cut.fastq.gz",31,6
"Rh_Irregularis_Chomutov_1A_cut.fastq.gz",2187,273
"Rh_Irregularis_Chomutov_5A_cut.fastq.gz",1,0
"Rh_irregularis_PH5_1C_cut.fastq.gz",384,11
"S_cerevisiaejenfwd_cut.fastq.gz",174,0
"Sa_cerevisiae_Sa_cerev_cut.fastq.gz",2,0
"Sac_cerevisiae_cut.fastq.gz",303,3
"Sc_calospora_AU212B_10B_cut.fastq.gz",686,17
"Sc_calospora_AU212B_5A_cut.fastq.gz",652,15
"Sc_calospora_BEG245_10A_cut.fastq.gz",668,23
"Sc_calospora_BEG245_1B_cut.fastq.gz",736,63
"Sc_calospora_BEG245_5A_cut.fastq.gz",1188,30
"SccalosporaAU212B1C_cut.fastq.gz",873,154
"Se_deserticola_NC302A_1A_cut.fastq.gz",430,9
"Se_deserticola_NC302A_1C_cut.fastq.gz",538,4
"Se_deserticola_NC302A_5A_cut.fastq.gz",536,2
