	A_leptoticha_CR312_1A_cut	A_leptoticha_CR312_1B_cut	A_leptoticha_CR312_1C_cut	Ac_koskei_WV685_1A_cut	Ac_koskei_WV685_1B_cut	Ac_koskei_WV685_1C_cut	Ac_laevis_BEG13_1E_cut	Ac_laevis_BEG13_5_2_cut	Ac_laevis_BEG13_5_cut	Ac_Laevis_BEG242_1D_cut	Ac_Laevis_BEG242_1F_cut	Ac_Laevis_BEG242_1G_cut	Ac_Laevis_BEG26_1_3_cut	Ac_Laevis_BEG26_1C_cut	Ac_Laevis_BEG26_1D_cut	Ac_morrowiae_BR983A_1A_cut	Ac_morrowiae_BR983A_1B_cut	Ac_morrowiae_BR983A_5A_cut	Am_fennica_fromAtt555_36_10g_cut	Am_gerdemannii_MT106_1C_cut	Am_gerdemannii_MT106_5A_cut	Am_gerdemannii_MT106_5B_cut	Am_gerdemannii_ON205A_1B_cut	Am_gerdemannii_ON205A_1B_SV_cut	Am_gerdemannii_ON205A_1C_SV_cut	Cl_claroideum_BEG23fromKrc_5B_cut	Cl_etunicatum_BEG247_1A_cut	Cl_etunicatum_BEG247_1C_cut	Cl_etunicatum_BEG247_5B_cut	Cl_Etunicatum_IN101_10B_cut	Cl_Etunicatum_IN101_1A_cut	Cl_Etunicatum_IN101_1B_cut	Cl_Luteum_CR308_1A_cut	Cl_Luteum_CR308_1C_cut	Cl_Luteum_CR308_5A_cut	Cl_luteum_SA101_10A_cut	De_heterogama_BEG35_10_cut	De_heterogama_BEG35_5_cut	De_heterogama_BR154_1A_cut	De_heterogama_BR154_1B_cut	De_heterogama_BR154_1C_cut	De_heterogama_IL203A_1A_cut	De_heterogama_IL203A_1B_cut	De_heterogama_IL203A_1C_cut	Di_epigaea_KS210_1A_cut	Di_epigaea_KS210_1C_cut	Di_epigaea_KS210_5A_cut	Di_spurca_W6227_10_cut	Di_spurca_W6227_5C4_cut	Di_spurca_W6227_5C5_cut	En_infrequens_Blaszk3_10A_cut	Fu_mosseae_BEG12_1A_cut	Fu_mosseae_BEG12_1B_cut	Fu_mosseae_BEG12_1C_cut	Gi_rosea_BEG9_10_cut	Gi_rosea_BEG9_5C1_cut	Gi_rosea_BR155B_1A_cut	Gi_rosea_BR155B_1B_cut	Gi_rosea_BR155B_1C_cut	Gi_rosea_KS885_1A_cut	Gi_rosea_KS885_1B_cut	Gi_rosea_KS885_1C_cut	Ka_bistrata_Blaszk7_10B_cut	Pa_brasilianum_BEG239_5A_cut	Pa_brasilianum_BR105_1C_cut	Pa_Brasilianum_FL710_1C_cut	Pa_Brasilianum_FL710_5A_cut	Pa_occultum_CU126_1B_cut	Pa_occultum_CU126_1C_cut	Pa_occultum_CU126_5A_cut	Pa_scintillans_Blaszk6_5B_cut	Ra_gregaria_BEG243_1A_cut	Ra_gregaria_BEG243_1B_cut	Ra_gregaria_BEG243_1C_cut	Rh_Irregularis_Chomutov_10B_cut	Rh_Irregularis_Chomutov_1A_cut	Rh_irregularis_PH5_1C_cut	Sac_cerevisiae_cut	Sc_calospora_AU212B_10B_cut	Sc_calospora_AU212B_5A_cut	Sc_calospora_BEG245_10A_cut	Sc_calospora_BEG245_1B_cut	Sc_calospora_BEG245_5A_cut	SccalosporaAU212B1C_cut	Se_deserticola_NC302A_1A_cut	Se_deserticola_NC302A_1C_cut	Se_deserticola_NC302A_5A_cut
zuzana-RSII_ASV_1	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	6	49	0	0	2	0	0	0	0	0	0	0	17	0	12	12	181	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	228	16	0	0	0	0	0	0	0	0	126	6	0	0	0	0	0	0	0	0	0	0
zuzana-RSII_ASV_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	220	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
zuzana-RSII_ASV_3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
zuzana-RSII_ASV_4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	153	0	0	0
zuzana-RSII_ASV_5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	138	0	0	0	0	0	0	0	0	0	0	0
zuzana-RSII_ASV_6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
zuzana-RSII_ASV_7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
zuzana-RSII_ASV_8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
zuzana-RSII_ASV_9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	8	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
zuzana-RSII_ASV_10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
