"","denoised"
"A_leptoticha_CR312_1A_cut.fastq.gz",4
"A_leptoticha_CR312_1B_cut.fastq.gz",69
"A_leptoticha_CR312_1C_cut.fastq.gz",20
"Ac_koskei_WV685_1A_cut.fastq.gz",57
"Ac_koskei_WV685_1B_cut.fastq.gz",4
"Ac_koskei_WV685_1C_cut.fastq.gz",8
"Ac_laevis_BEG13_1E_cut.fastq.gz",1
"Ac_laevis_BEG13_5_2_cut.fastq.gz",9
"Ac_laevis_BEG13_5_cut.fastq.gz",3
"Ac_Laevis_BEG242_1D_cut.fastq.gz",16
"Ac_Laevis_BEG242_1F_cut.fastq.gz",6
"Ac_Laevis_BEG242_1G_cut.fastq.gz",11
"Ac_Laevis_BEG26_1_3_cut.fastq.gz",60
"Ac_Laevis_BEG26_1C_cut.fastq.gz",7
"Ac_Laevis_BEG26_1D_cut.fastq.gz",42
"Ac_morrowiae_BR983A_1A_cut.fastq.gz",48
"Ac_morrowiae_BR983A_1B_cut.fastq.gz",75
"Ac_morrowiae_BR983A_5A_cut.fastq.gz",61
"Am_fennica_fromAtt555_36_10g_cut.fastq.gz",2
"Am_gerdemannii_MT106_1C_cut.fastq.gz",2
"Am_gerdemannii_MT106_5A_cut.fastq.gz",2
"Am_gerdemannii_MT106_5B_cut.fastq.gz",1
"Am_gerdemannii_ON205A_1B_cut.fastq.gz",65
"Am_gerdemannii_ON205A_1B_SV_cut.fastq.gz",36
"Am_gerdemannii_ON205A_1C_SV_cut.fastq.gz",20
"Cl_claroideum_BEG23fromKrc_5B_cut.fastq.gz",6
"Cl_etunicatum_BEG247_1A_cut.fastq.gz",17
"Cl_etunicatum_BEG247_1C_cut.fastq.gz",32
"Cl_etunicatum_BEG247_5B_cut.fastq.gz",17
"Cl_Etunicatum_IN101_10B_cut.fastq.gz",1
"Cl_Etunicatum_IN101_1A_cut.fastq.gz",64
"Cl_Etunicatum_IN101_1B_cut.fastq.gz",107
"Cl_Luteum_CR308_1A_cut.fastq.gz",210
"Cl_Luteum_CR308_1C_cut.fastq.gz",164
"Cl_Luteum_CR308_5A_cut.fastq.gz",26
"Cl_luteum_SA101_10A_cut.fastq.gz",22
"De_heterogama_BEG35_10_cut.fastq.gz",2
"De_heterogama_BEG35_5_cut.fastq.gz",2
"De_heterogama_BR154_1A_cut.fastq.gz",49
"De_heterogama_BR154_1B_cut.fastq.gz",51
"De_heterogama_BR154_1C_cut.fastq.gz",42
"De_heterogama_IL203A_1A_cut.fastq.gz",72
"De_heterogama_IL203A_1B_cut.fastq.gz",30
"De_heterogama_IL203A_1C_cut.fastq.gz",79
"Di_epigaea_KS210_1A_cut.fastq.gz",8
"Di_epigaea_KS210_1C_cut.fastq.gz",33
"Di_epigaea_KS210_5A_cut.fastq.gz",4
"Di_spurca_W6227_10_cut.fastq.gz",1
"Di_spurca_W6227_5C4_cut.fastq.gz",8
"Di_spurca_W6227_5C5_cut.fastq.gz",2
"En_infrequens_Blaszk3_10A_cut.fastq.gz",22
"Fu_mosseae_BEG12_1A_cut.fastq.gz",23
"Fu_mosseae_BEG12_1B_cut.fastq.gz",23
"Fu_mosseae_BEG12_1C_cut.fastq.gz",5
"Gi_rosea_BEG9_10_cut.fastq.gz",1
"Gi_rosea_BEG9_5C1_cut.fastq.gz",2
"Gi_rosea_BR155B_1A_cut.fastq.gz",17
"Gi_rosea_BR155B_1B_cut.fastq.gz",17
"Gi_rosea_BR155B_1C_cut.fastq.gz",21
"Gi_rosea_KS885_1A_cut.fastq.gz",27
"Gi_rosea_KS885_1B_cut.fastq.gz",39
"Gi_rosea_KS885_1C_cut.fastq.gz",40
"Ka_bistrata_Blaszk7_10B_cut.fastq.gz",38
"Pa_brasilianum_BEG239_5A_cut.fastq.gz",17
"Pa_brasilianum_BR105_1C_cut.fastq.gz",37
"Pa_Brasilianum_FL710_1C_cut.fastq.gz",231
"Pa_Brasilianum_FL710_5A_cut.fastq.gz",260
"Pa_occultum_CU126_1B_cut.fastq.gz",2
"Pa_occultum_CU126_1C_cut.fastq.gz",4
"Pa_occultum_CU126_5A_cut.fastq.gz",4
"Pa_scintillans_Blaszk6_5B_cut.fastq.gz",33
"Ra_gregaria_BEG243_1A_cut.fastq.gz",46
"Ra_gregaria_BEG243_1B_cut.fastq.gz",46
"Ra_gregaria_BEG243_1C_cut.fastq.gz",6
"Rh_Irregularis_Chomutov_10B_cut.fastq.gz",4
"Rh_Irregularis_Chomutov_1A_cut.fastq.gz",266
"Rh_irregularis_PH5_1C_cut.fastq.gz",11
"Sac_cerevisiae_cut.fastq.gz",3
"Sc_calospora_AU212B_10B_cut.fastq.gz",1
"Sc_calospora_AU212B_5A_cut.fastq.gz",5
"Sc_calospora_BEG245_10A_cut.fastq.gz",14
"Sc_calospora_BEG245_1B_cut.fastq.gz",63
"Sc_calospora_BEG245_5A_cut.fastq.gz",10
"SccalosporaAU212B1C_cut.fastq.gz",153
"Se_deserticola_NC302A_1A_cut.fastq.gz",7
"Se_deserticola_NC302A_1C_cut.fastq.gz",1
"Se_deserticola_NC302A_5A_cut.fastq.gz",1
