"","barcode","median"
"/home/robert/Public/Github/pacbio-pipeline/zuzana/filtered_RSII/A_leptoticha_CR312_1A_cut.fastq.gz","gz",2449
"/home/robert/Public/Github/pacbio-pipeline/zuzana/filtered_RSII/A_leptoticha_CR312_1B_cut.fastq.gz","gz",2404
"/home/robert/Public/Github/pacbio-pipeline/zuzana/filtered_RSII/A_leptoticha_CR312_1C_cut.fastq.gz","gz",2451
"/home/robert/Public/Github/pacbio-pipeline/zuzana/filtered_RSII/Ac_koskei_WV685_1A_cut.fastq.gz","gz",2289
"/home/robert/Public/Github/pacbio-pipeline/zuzana/filtered_RSII/Ac_koskei_WV685_1B_cut.fastq.gz","gz",2641
"/home/robert/Public/Github/pacbio-pipeline/zuzana/filtered_RSII/Ac_koskei_WV685_1C_cut.fastq.gz","gz",2246
"/home/robert/Public/Github/pacbio-pipeline/zuzana/filtered_RSII/Ac_laevis_BEG13_1E_cut.fastq.gz","gz",2431.5
"/home/robert/Public/Github/pacbio-pipeline/zuzana/filtered_RSII/Ac_laevis_BEG13_5_2_cut.fastq.gz","gz",2425
"/home/robert/Public/Github/pacbio-pipeline/zuzana/filtered_RSII/Ac_laevis_BEG13_5_cut.fastq.gz","gz",2432
"/home/robert/Public/Github/pacbio-pipeline/zuzana/filtered_RSII/Ac_Laevis_BEG242_1D_cut.fastq.gz","gz",2411
"/home/robert/Public/Github/pacbio-pipeline/zuzana/filtered_RSII/Ac_Laevis_BEG242_1F_cut.fastq.gz","gz",2411
"/home/robert/Public/Github/pacbio-pipeline/zuzana/filtered_RSII/Ac_Laevis_BEG242_1G_cut.fastq.gz","gz",2411
"/home/robert/Public/Github/pacbio-pipeline/zuzana/filtered_RSII/Ac_Laevis_BEG26_1_3_cut.fastq.gz","gz",2750
"/home/robert/Public/Github/pacbio-pipeline/zuzana/filtered_RSII/Ac_Laevis_BEG26_1C_cut.fastq.gz","gz",2430
"/home/robert/Public/Github/pacbio-pipeline/zuzana/filtered_RSII/Ac_Laevis_BEG26_1D_cut.fastq.gz","gz",2377
"/home/robert/Public/Github/pacbio-pipeline/zuzana/filtered_RSII/Ac_morrowiae_BR983A_1A_cut.fastq.gz","gz",2409
"/home/robert/Public/Github/pacbio-pipeline/zuzana/filtered_RSII/Ac_morrowiae_BR983A_1B_cut.fastq.gz","gz",2262.5
"/home/robert/Public/Github/pacbio-pipeline/zuzana/filtered_RSII/Ac_morrowiae_BR983A_5A_cut.fastq.gz","gz",2289
"/home/robert/Public/Github/pacbio-pipeline/zuzana/filtered_RSII/Am_fennica_fromAtt555_36_10g_cut.fastq.gz","gz",2463
"/home/robert/Public/Github/pacbio-pipeline/zuzana/filtered_RSII/Am_gerdemannii_MT106_1C_cut.fastq.gz","gz",2292.5
"/home/robert/Public/Github/pacbio-pipeline/zuzana/filtered_RSII/Am_gerdemannii_MT106_5A_cut.fastq.gz","gz",2435
"/home/robert/Public/Github/pacbio-pipeline/zuzana/filtered_RSII/Am_gerdemannii_MT106_5B_cut.fastq.gz","gz",2435
"/home/robert/Public/Github/pacbio-pipeline/zuzana/filtered_RSII/Am_gerdemannii_ON205A_1B_cut.fastq.gz","gz",2305
"/home/robert/Public/Github/pacbio-pipeline/zuzana/filtered_RSII/Am_gerdemannii_ON205A_1B_SV_cut.fastq.gz","gz",2437
"/home/robert/Public/Github/pacbio-pipeline/zuzana/filtered_RSII/Am_gerdemannii_ON205A_1C_SV_cut.fastq.gz","gz",2437
"/home/robert/Public/Github/pacbio-pipeline/zuzana/filtered_RSII/Cl_claroideum_BEG23fromKrc_5B_cut.fastq.gz","gz",2286
"/home/robert/Public/Github/pacbio-pipeline/zuzana/filtered_RSII/Cl_etunicatum_BEG247_1A_cut.fastq.gz","gz",2325.5
"/home/robert/Public/Github/pacbio-pipeline/zuzana/filtered_RSII/Cl_etunicatum_BEG247_1C_cut.fastq.gz","gz",2299
"/home/robert/Public/Github/pacbio-pipeline/zuzana/filtered_RSII/Cl_etunicatum_BEG247_5B_cut.fastq.gz","gz",2289
"/home/robert/Public/Github/pacbio-pipeline/zuzana/filtered_RSII/Cl_Etunicatum_IN101_10B_cut.fastq.gz","gz",2344.5
"/home/robert/Public/Github/pacbio-pipeline/zuzana/filtered_RSII/Cl_Etunicatum_IN101_1A_cut.fastq.gz","gz",2289
"/home/robert/Public/Github/pacbio-pipeline/zuzana/filtered_RSII/Cl_Etunicatum_IN101_1B_cut.fastq.gz","gz",2262
"/home/robert/Public/Github/pacbio-pipeline/zuzana/filtered_RSII/Cl_Luteum_CR308_1A_cut.fastq.gz","gz",2289
"/home/robert/Public/Github/pacbio-pipeline/zuzana/filtered_RSII/Cl_Luteum_CR308_1C_cut.fastq.gz","gz",2290
"/home/robert/Public/Github/pacbio-pipeline/zuzana/filtered_RSII/Cl_Luteum_CR308_5A_cut.fastq.gz","gz",2511
"/home/robert/Public/Github/pacbio-pipeline/zuzana/filtered_RSII/Cl_luteum_SA101_10A_cut.fastq.gz","gz",2290
"/home/robert/Public/Github/pacbio-pipeline/zuzana/filtered_RSII/De_heterogama_BEG35_10_cut.fastq.gz","gz",2348
"/home/robert/Public/Github/pacbio-pipeline/zuzana/filtered_RSII/De_heterogama_BEG35_5_cut.fastq.gz","gz",2338
"/home/robert/Public/Github/pacbio-pipeline/zuzana/filtered_RSII/De_heterogama_BR154_1A_cut.fastq.gz","gz",2349
"/home/robert/Public/Github/pacbio-pipeline/zuzana/filtered_RSII/De_heterogama_BR154_1B_cut.fastq.gz","gz",2346
"/home/robert/Public/Github/pacbio-pipeline/zuzana/filtered_RSII/De_heterogama_BR154_1C_cut.fastq.gz","gz",2346
"/home/robert/Public/Github/pacbio-pipeline/zuzana/filtered_RSII/De_heterogama_IL203A_1A_cut.fastq.gz","gz",2344
"/home/robert/Public/Github/pacbio-pipeline/zuzana/filtered_RSII/De_heterogama_IL203A_1B_cut.fastq.gz","gz",2345.5
"/home/robert/Public/Github/pacbio-pipeline/zuzana/filtered_RSII/De_heterogama_IL203A_1C_cut.fastq.gz","gz",2344
"/home/robert/Public/Github/pacbio-pipeline/zuzana/filtered_RSII/Di_epigaea_KS210_1A_cut.fastq.gz","gz",2458
"/home/robert/Public/Github/pacbio-pipeline/zuzana/filtered_RSII/Di_epigaea_KS210_1C_cut.fastq.gz","gz",2396
"/home/robert/Public/Github/pacbio-pipeline/zuzana/filtered_RSII/Di_epigaea_KS210_5A_cut.fastq.gz","gz",2458
"/home/robert/Public/Github/pacbio-pipeline/zuzana/filtered_RSII/Di_spurca_W6227_10_cut.fastq.gz","gz",2465
"/home/robert/Public/Github/pacbio-pipeline/zuzana/filtered_RSII/Di_spurca_W6227_5C4_cut.fastq.gz","gz",2465
"/home/robert/Public/Github/pacbio-pipeline/zuzana/filtered_RSII/Di_spurca_W6227_5C5_cut.fastq.gz","gz",2465.5
"/home/robert/Public/Github/pacbio-pipeline/zuzana/filtered_RSII/En_infrequens_Blaszk3_10A_cut.fastq.gz","gz",2285
"/home/robert/Public/Github/pacbio-pipeline/zuzana/filtered_RSII/Fu_mosseae_BEG12_1A_cut.fastq.gz","gz",2502
"/home/robert/Public/Github/pacbio-pipeline/zuzana/filtered_RSII/Fu_mosseae_BEG12_1B_cut.fastq.gz","gz",2502
"/home/robert/Public/Github/pacbio-pipeline/zuzana/filtered_RSII/Fu_mosseae_BEG12_1C_cut.fastq.gz","gz",2502
"/home/robert/Public/Github/pacbio-pipeline/zuzana/filtered_RSII/Gi_rosea_BEG9_10_cut.fastq.gz","gz",2340
"/home/robert/Public/Github/pacbio-pipeline/zuzana/filtered_RSII/Gi_rosea_BEG9_5C1_cut.fastq.gz","gz",2340
"/home/robert/Public/Github/pacbio-pipeline/zuzana/filtered_RSII/Gi_rosea_BR155B_1A_cut.fastq.gz","gz",2340
"/home/robert/Public/Github/pacbio-pipeline/zuzana/filtered_RSII/Gi_rosea_BR155B_1B_cut.fastq.gz","gz",2343
"/home/robert/Public/Github/pacbio-pipeline/zuzana/filtered_RSII/Gi_rosea_BR155B_1C_cut.fastq.gz","gz",2343
"/home/robert/Public/Github/pacbio-pipeline/zuzana/filtered_RSII/Gi_rosea_KS885_1A_cut.fastq.gz","gz",2343
"/home/robert/Public/Github/pacbio-pipeline/zuzana/filtered_RSII/Gi_rosea_KS885_1B_cut.fastq.gz","gz",2343
"/home/robert/Public/Github/pacbio-pipeline/zuzana/filtered_RSII/Gi_rosea_KS885_1C_cut.fastq.gz","gz",2343
"/home/robert/Public/Github/pacbio-pipeline/zuzana/filtered_RSII/Ka_bistrata_Blaszk7_10B_cut.fastq.gz","gz",2299
"/home/robert/Public/Github/pacbio-pipeline/zuzana/filtered_RSII/Pa_brasilianum_BEG239_5A_cut.fastq.gz","gz",2278
"/home/robert/Public/Github/pacbio-pipeline/zuzana/filtered_RSII/Pa_brasilianum_BR105_1C_cut.fastq.gz","gz",2290
"/home/robert/Public/Github/pacbio-pipeline/zuzana/filtered_RSII/Pa_Brasilianum_FL710_1C_cut.fastq.gz","gz",2289
"/home/robert/Public/Github/pacbio-pipeline/zuzana/filtered_RSII/Pa_Brasilianum_FL710_5A_cut.fastq.gz","gz",2262
"/home/robert/Public/Github/pacbio-pipeline/zuzana/filtered_RSII/Pa_occultum_CU126_1B_cut.fastq.gz","gz",2460
"/home/robert/Public/Github/pacbio-pipeline/zuzana/filtered_RSII/Pa_occultum_CU126_1C_cut.fastq.gz","gz",2469.5
"/home/robert/Public/Github/pacbio-pipeline/zuzana/filtered_RSII/Pa_occultum_CU126_5A_cut.fastq.gz","gz",2450
"/home/robert/Public/Github/pacbio-pipeline/zuzana/filtered_RSII/Pa_scintillans_Blaszk6_5B_cut.fastq.gz","gz",2285
"/home/robert/Public/Github/pacbio-pipeline/zuzana/filtered_RSII/Ra_gregaria_BEG243_1A_cut.fastq.gz","gz",2352
"/home/robert/Public/Github/pacbio-pipeline/zuzana/filtered_RSII/Ra_gregaria_BEG243_1B_cut.fastq.gz","gz",2353
"/home/robert/Public/Github/pacbio-pipeline/zuzana/filtered_RSII/Ra_gregaria_BEG243_1C_cut.fastq.gz","gz",2352
"/home/robert/Public/Github/pacbio-pipeline/zuzana/filtered_RSII/Rh_Irregularis_Chomutov_10B_cut.fastq.gz","gz",2312
"/home/robert/Public/Github/pacbio-pipeline/zuzana/filtered_RSII/Rh_Irregularis_Chomutov_1A_cut.fastq.gz","gz",2311
"/home/robert/Public/Github/pacbio-pipeline/zuzana/filtered_RSII/Rh_irregularis_PH5_1C_cut.fastq.gz","gz",2289
"/home/robert/Public/Github/pacbio-pipeline/zuzana/filtered_RSII/Sac_cerevisiae_cut.fastq.gz","gz",2592
"/home/robert/Public/Github/pacbio-pipeline/zuzana/filtered_RSII/Sc_calospora_AU212B_10B_cut.fastq.gz","gz",2376
"/home/robert/Public/Github/pacbio-pipeline/zuzana/filtered_RSII/Sc_calospora_AU212B_5A_cut.fastq.gz","gz",2375
"/home/robert/Public/Github/pacbio-pipeline/zuzana/filtered_RSII/Sc_calospora_BEG245_10A_cut.fastq.gz","gz",2375
"/home/robert/Public/Github/pacbio-pipeline/zuzana/filtered_RSII/Sc_calospora_BEG245_1B_cut.fastq.gz","gz",2376
"/home/robert/Public/Github/pacbio-pipeline/zuzana/filtered_RSII/Sc_calospora_BEG245_5A_cut.fastq.gz","gz",2375
"/home/robert/Public/Github/pacbio-pipeline/zuzana/filtered_RSII/SccalosporaAU212B1C_cut.fastq.gz","gz",2246
"/home/robert/Public/Github/pacbio-pipeline/zuzana/filtered_RSII/Se_deserticola_NC302A_1A_cut.fastq.gz","gz",2530
"/home/robert/Public/Github/pacbio-pipeline/zuzana/filtered_RSII/Se_deserticola_NC302A_1C_cut.fastq.gz","gz",2504
"/home/robert/Public/Github/pacbio-pipeline/zuzana/filtered_RSII/Se_deserticola_NC302A_5A_cut.fastq.gz","gz",2518
