"","denoised"
"A_fennica_Af2_1A_cut.fastq.gz",552
"A_koskei_Sc705_5P_cut.fastq.gz",563
"A_koskei_WV658_1H_cut.fastq.gz",467
"A_koskei_WV685_1F_cut.fastq.gz",1101
"A_trappei_CU132_5P_cut.fastq.gz",347
"Ac_koskei_WV685_1A_cut.fastq.gz",1432
"Ac_koskei_WV685_1B_cut.fastq.gz",367
"Ac_koskei_WV685_1C_cut.fastq.gz",526
"Ac_morrowiae_BR983A_1A_cut.fastq.gz",3138
"Ac_morrowiae_BR983A_1B_cut.fastq.gz",351
"Ac_morrowiae_BR983A_5A_cut.fastq.gz",898
"Am_gerdemannii_ON205A_1B_cut.fastq.gz",507
"Am_gerdemannii_ON205A_1B_SV_cut.fastq.gz",172
"Am_gerdemannii_ON205A_1C_SV_cut.fastq.gz",438
"C_corymbiforme_Blask5_1A_cut.fastq.gz",875
"C_corymbiforme_Blask5_1B_cut.fastq.gz",130
"C_corymbiforme_Blask5_1C_cut.fastq.gz",347
"C_luteum_SA101_5S_cut.fastq.gz",98
"D_heterogama_BEG35_1M_cut.fastq.gz",486
"D_heterogama_BEG35_1N_cut.fastq.gz",240
"D_heterogama_BEG35_1O_cut.fastq.gz",118
"De_heterogama_BR154_1A_cut.fastq.gz",894
"De_heterogama_BR154_1B_cut.fastq.gz",1270
"De_heterogama_BR154_1C_cut.fastq.gz",599
"De_heterogama_IL203A_1A_cut.fastq.gz",1667
"De_heterogama_IL203A_1B_cut.fastq.gz",1667
"De_heterogama_IL203A_1C_cut.fastq.gz",1570
"Di_epigaea_KS210_1A_cut.fastq.gz",458
"Di_epigaea_KS210_1C_cut.fastq.gz",764
"Di_epigaea_KS210_5A_cut.fastq.gz",214
"E_infrequens_Blask3_1F_cut.fastq.gz",1
"F_mosseae_BEG161_10A_cut.fastq.gz",181
"F_mosseae_BEG161_1A_cut.fastq.gz",414
"F_mosseae_BEG161_5B_cut.fastq.gz",45
"F_mosseae_BEG95_5A_cut.fastq.gz",168
"Fu_mosseae_BEG12_1A_cut.fastq.gz",463
"Fu_mosseae_BEG12_1B_cut.fastq.gz",239
"Fu_mosseae_BEG12_1C_cut.fastq.gz",327
"G_rosea_BEG9_1Na_ cut.fastq.gz",265
"G_rosea_BEG9_1Nb_cut.fastq.gz",296
"Gi_rosea_BR155B_1A_cut.fastq.gz",700
"Gi_rosea_BR155B_1B_cut.fastq.gz",929
"Gi_rosea_BR155B_1C_cut.fastq.gz",1489
"Gi_rosea_KS885_1A_cut.fastq.gz",802
"Gi_rosea_KS885_1B_cut.fastq.gz",1636
"Gi_rosea_KS885_1C_cut.fastq.gz",1059
"P_laccatum_AH960_55_cut.fastq.gz",1473
"P_occultum_CU126_10A_cut.fastq.gz",185
"P_occultum_CU126_10B_cut.fastq.gz",553
"P_occultum_CU126_5B_cut.fastq.gz",399
"R_irregularis_PH5_1A_cut.fastq.gz",1479
"Ra_gregaria_BEG243_1A_cut.fastq.gz",1505
"Ra_gregaria_BEG243_1B_cut.fastq.gz",1482
"Ra_gregaria_BEG243_1C_cut.fastq.gz",395
"Racocetra_sp_179_Blask4_10A_cut.fastq.gz",925
"S_calospora_IL209_1A_cut.fastq.gz",123
"S_calospora_IL209_1C_cut.fastq.gz",409
"S_cerrevisiae_Yeast_cut.fastq.gz",118
"S_viscosum_AH179_15_1A_cut.fastq.gz",1509
"S_viscosum_AH179_15_1B_cut.fastq.gz",447
"S_viscosum_AH179_15_1C_cut.fastq.gz",1142
