"","barcode","median"
"/home/robert/Public/Github/pacbio-pipeline/zuzana/filtered/A_fennica_Af2_1A_cut.fastq.gz","gz",2439
"/home/robert/Public/Github/pacbio-pipeline/zuzana/filtered/A_koskei_Sc705_5P_cut.fastq.gz","gz",2390
"/home/robert/Public/Github/pacbio-pipeline/zuzana/filtered/A_koskei_WV658_1H_cut.fastq.gz","gz",2289
"/home/robert/Public/Github/pacbio-pipeline/zuzana/filtered/A_koskei_WV685_1F_cut.fastq.gz","gz",2289
"/home/robert/Public/Github/pacbio-pipeline/zuzana/filtered/A_trappei_CU132_5P_cut.fastq.gz","gz",2450
"/home/robert/Public/Github/pacbio-pipeline/zuzana/filtered/Ac_koskei_WV685_1A_cut.fastq.gz","gz",2289
"/home/robert/Public/Github/pacbio-pipeline/zuzana/filtered/Ac_koskei_WV685_1B_cut.fastq.gz","gz",2643
"/home/robert/Public/Github/pacbio-pipeline/zuzana/filtered/Ac_koskei_WV685_1C_cut.fastq.gz","gz",2246
"/home/robert/Public/Github/pacbio-pipeline/zuzana/filtered/Ac_morrowiae_BR983A_1A_cut.fastq.gz","gz",2409
"/home/robert/Public/Github/pacbio-pipeline/zuzana/filtered/Ac_morrowiae_BR983A_1B_cut.fastq.gz","gz",2287
"/home/robert/Public/Github/pacbio-pipeline/zuzana/filtered/Ac_morrowiae_BR983A_5A_cut.fastq.gz","gz",2290
"/home/robert/Public/Github/pacbio-pipeline/zuzana/filtered/Am_gerdemannii_ON205A_1B_cut.fastq.gz","gz",2305
"/home/robert/Public/Github/pacbio-pipeline/zuzana/filtered/Am_gerdemannii_ON205A_1B_SV_cut.fastq.gz","gz",2437
"/home/robert/Public/Github/pacbio-pipeline/zuzana/filtered/Am_gerdemannii_ON205A_1C_SV_cut.fastq.gz","gz",2437
"/home/robert/Public/Github/pacbio-pipeline/zuzana/filtered/C_corymbiforme_Blask5_1A_cut.fastq.gz","gz",2314
"/home/robert/Public/Github/pacbio-pipeline/zuzana/filtered/C_corymbiforme_Blask5_1B_cut.fastq.gz","gz",2465
"/home/robert/Public/Github/pacbio-pipeline/zuzana/filtered/C_corymbiforme_Blask5_1C_cut.fastq.gz","gz",2471
"/home/robert/Public/Github/pacbio-pipeline/zuzana/filtered/C_luteum_SA101_5S_cut.fastq.gz","gz",2462
"/home/robert/Public/Github/pacbio-pipeline/zuzana/filtered/D_heterogama_BEG35_1M_cut.fastq.gz","gz",2347
"/home/robert/Public/Github/pacbio-pipeline/zuzana/filtered/D_heterogama_BEG35_1N_cut.fastq.gz","gz",2347
"/home/robert/Public/Github/pacbio-pipeline/zuzana/filtered/D_heterogama_BEG35_1O_cut.fastq.gz","gz",2347
"/home/robert/Public/Github/pacbio-pipeline/zuzana/filtered/De_heterogama_BR154_1A_cut.fastq.gz","gz",2348
"/home/robert/Public/Github/pacbio-pipeline/zuzana/filtered/De_heterogama_BR154_1B_cut.fastq.gz","gz",2346
"/home/robert/Public/Github/pacbio-pipeline/zuzana/filtered/De_heterogama_BR154_1C_cut.fastq.gz","gz",2346
"/home/robert/Public/Github/pacbio-pipeline/zuzana/filtered/De_heterogama_IL203A_1A_cut.fastq.gz","gz",2347
